Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
АМИКСИН 0,125 N6 ТАБЛ П/ПЛЕН/ОБОЛОЧ ;10.0;510.29;644.85;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Фармстандарт-Томскхимфарм;россия
АМОКСИКЛАВ 0,125+0,03125/5МЛ 100МЛ ФЛАК ПОР Д/СУСП ;5.0;104.39;129.13;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Лек Д.Д.;словения
АМОКСИКЛАВ 0,25+0,0625/5МЛ 100МЛ ФЛАК ПОР Д/СУСП ;5.0;259.49;321.61;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Лек Д.Д.;словения
ВАЛТРЕКС 0,5 N10 ТАБЛ П/О ;2.0;1052.15;1315.18;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Глаксо Вэллком С.А./ГлаксоСмитКляйн Фарм;польша
ВЕРАПАМИЛ 0,08 N20 ТАБЛ П/О ;10.0;25.08;32.19;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Акрихин ХФК ОАО;россия
КАГОЦЕЛ 0,012 N10 ТАБЛ ;50.0;190.41;244.38;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; НИАРМЕДИК Плюс;россия
КАЛЬЦЕМИН АДВАНС N30 ТАБЛ П/О ;2.0;286.44;358.05;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Сагмел Инк.;соединенные шта
ОТИНУМ 20% 10МЛ УШНЫЕ КАПЛИ ФЛАК/КАП ;3.0;140.91;176.13;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; АЙ СИ ЭН Польфа Жешув АО;польша
ОТРУБИ РЖАНЫЕ ХРУСТ 200,0 ;3.0;28.27;35.33;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Эль-Про;россия
ПИКАМИЛОН 0,05 N30 ТАБЛ ;10.0;67.21;84.01;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Фармстандарт-Уфимский витаминный завод;россия
ПРЕЗЕРВАТИВ ГОРОСКОП ЛЮБВИ N3/АССОРТИ ;20.0;12.21;15.26;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Шанхай Биомед Индастриал Ко.;китай
СИРОП ЯГОД ЧЕРНИКИ ВИТАМИНИЗИР 330,0 ;3.0;71.28;89.09;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; АСТРОМАР ООО;россия
СОЛОДКОВОГО КОРНЯ 100,0 СИРОП ;60.0;19.36;24.19;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Татхимфармпрепараты ОАО;россия
ТЕРАФЛЕКС АДВАНС N30 КАПС ;1.0;460.35;575.43;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Сагмел Инк.;соединенные шта
ЦИТОВИР-3 50МЛ ФЛАК СИРОП Д/ДЕТЕЙ ;5.0;267.74;334.67;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; ЦИТОМЕД МБНПК;россия
ШПРИЦ 10МЛ 3-Х КОМП N100 /ИМПОРТ/SFM/ ;1.0;731.39;914.23;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; СФМ Госпитал Продактс ГмбХ;германия
