мЮХЛЕМНБЮМХЕ;йНК-БН;жЕМЮ ОНЯР;жЕМЮ ПНГМ;дЮРЮ;оНЯРЮБЫХЙ;оПНХГБНДХРЕКЭ;яРПЮМЮ
цнпмши йюкэжхи D3 рюа ╧80;2.0;157.69;205.0;2015-02-03 09:46:13;тюплйнлокейр ннн;щбюкюп гюн;пняяхъ
дхйкнтемюй перюпд рюа о/н 100лц ╧20;10.0;57.69;72.5;2015-02-03 09:46:13;тюплйнлокейр ннн;уелнтюпл ю.д./уелнтюпл ннн;пняяхъ
хмднбюгхм цекэ 45ц;2.0;180.25;230.0;2015-02-03 09:46:13;тюплйнлокейр ннн;аюкйюм тюплю;анкцюпхъ
йкюпхрпнлхжхм рюа о/н 500лц ╧7;1.0;167.34;202.0;2015-02-03 09:46:13;тюплйнлокейр ннн;нанкемяйне то;пняяхъ
йнкле йюокх 60лц/лк юло 15лк ╧4;1.0;1347.87;1698.0;2015-02-03 09:46:13;тюплйнлокейр ннн;кюанпюрнпхъ бхрнпхъ я.ю.;хяоюмхъ
йнтехмю-аемгнюр мюрпхъ 0.1ц рюа ╧6;10.0;25.9;37.0;2015-02-03 09:46:13;тюплйнлокейр ннн;рюрухлтюплопеоюпюрш нюн;пняяхъ
кюгнкбюм рюа 30лц ╧20;2.0;191.51;249.0;2015-02-03 09:46:13;тюплйнлокейр ннн;аепхмцеп хмцекэуюил;цпежхъ
лернопнкнк-пюрхнтюпл рюа 50лц ╧30;10.0;23.69;29.0;2015-02-03 09:46:13;тюплйнлокейр ннн;RATIOPHARM;цеплюмхъ
мхюяоюл йюоя опнкнмц 200лц ╧30;1.0;256.06;307.0;2015-02-03 09:46:13;тюплйнлокейр ннн;SUN PHARMACEUTIKAL INDUSTRIES LTD;хмдхъ
нлюпнм рюа ╧30;2.0;92.84;125.5;2015-02-03 09:46:13;тюплйнлокейр ннн;мхфтюпл нюн;пняяхъ
нлмхй йюоя я лндхт. бшябнанфд. 0,4лц ╧30;2.0;698.32;796.0;2015-02-03 09:46:13;тюплйнлокейр ннн;юяреккюя тюплю/нпрюр;пняяхъ
яхпдюксд рюа 2лц ╧30;2.0;198.85;238.0;2015-02-03 09:46:13;тюплйнлокейр ннн;NOVARTIS URUNLERI;цеплюмхъ
ямсо яопеи 0,05% тк 15лк;5.0;119.1;143.0;2015-02-03 09:46:13;тюплйнлокейр ннн;ьрюдю юпжмюилхррекэ юц;цеплюмхъ
ямсо яопеи 0,1% тк 15лк;10.0;99.99;119.5;2015-02-03 09:46:13;тюплйнлокейр ннн;ьрюдю юпжмюилхррекэ юц;цеплюмхъ
рпнйяепсрхм йюоя 300лц ╧30;1.0;140.39;187.0;2015-02-03 09:46:13;тюплйнлокейр ннн;нгнм ннн;пняяхъ
ткелнйяхм янкчрюа рюа дхяоепц 250лц ╧20;2.0;231.95;280.5;2015-02-03 09:46:13;тюплйнлокейр ннн;юяреккюя тюплю/нпрюр;пняяхъ
щмюо-Hк рюа 10лц/12,5лц ╧20;3.0;130.58;175.0;2015-02-03 09:46:13;тюплйнлокейр ннн;йпйю;якнбемхъ
щмгхярюк-о рюа о/н йхьевмнпюярбнп ╧20 (7 он жеме 6);7.0;58.4;72.5;2015-02-03 09:46:13;тюплйнлокейр ннн;рнппемр тюплюяэчрхйюкя крд;хмдхъ
дфея рюа о/н ╧28;1.0;903.06;1138.0;2015-02-03 09:46:18;тюплйнлокейр ннн;аюиеп;цеплюмхъ
йнтхжхк-окчя рюа ╧10;20.0;6.71;10.0;2015-02-03 09:46:29;опнрей гюн жб ц.лняйбю;тюплярюмдюпр-кейяпедярбю нюн;пняяхъ
юмрхонкхжюи бюир ╧6;12.0;30.22;45.0;2015-02-03 09:46:34;опнрей гюн жб ц.лняйбю;хмюр-тюплю ннн;пняяхъ
юмрхонулекхм ^юмрхо^ рюа 0,5ц ╧6;12.0;34.81;50.0;2015-02-03 09:46:34;опнрей гюн жб ц.лняйбю;хмюр-тюплю ннн;пняяхъ
цюкюбхр рюа ондзъгшвмше 25лц ╧10;2.0;181.17;236.0;2015-02-03 09:46:34;опнрей гюн жб ц.лняйбю;ящкбхл ннн;пняяхъ
цюярюк рюа д/пюяя ╧12;3.0;110.11;147.0;2015-02-03 09:46:34;опнрей гюн жб ц.лняйбю;окхбю йпюйнб тюплюжебрхвеяйхи гюбнд ю.н.;онкэью
цхмйцн ахкнаю рюа ╧40;3.0;107.12;145.0;2015-02-03 09:46:34;опнрей гюн жб ц.лняйбю;щбюкюп гюн;пняяхъ
днйрнп рюияя пхмнрюияя 0,1% 10лк яопеи;5.0;30.47;37.5;2015-02-03 09:46:34;опнрей гюн жб ц.лняйбю;днйрнп рюияя мюрспбюпем цлау;мхдепкюмдш
хлоюгю рюа цнленоюр. ╧20;2.0;328.9;428.0;2015-02-03 09:46:34;опнрей гюн жб ц.лняйбю;люрепхю-ледхйю ункдхмц мот ннн;пняяхъ
хоокхйюрнп йсгмежнбю лед хмремя ^рхаеряйхи^ (яхмхи);1.0;147.84;200.0;2015-02-03 09:46:34;опнрей гюн жб ц.лняйбю;йнпрхм-ледреумхйю ннн;пняяхъ
йюкемдскш мюярнийю 40лк тк хмд.со.;10.0;23.87;35.0;2015-02-03 09:46:34;опнрей гюн жб ц.лняйбю;хбюмнбяйюъ тюплтюапхйю нюн;пняяхъ
