мЮХЛЕМНБЮМХЕ;йНК-БН;жЕМЮ ОНЯР;жЕМЮ ПНГМ;дЮРЮ;оНЯРЮБЫХЙ;оПНХГБНДХРЕКЭ;яРПЮМЮ
юккнунк рюа о/н ╧10;50.0;7.45;12.0;2015-02-03 08:51:29;тюплоюпрмеп ннн тй;тюплярюмдюпр-рнляйухлтюпл нюн ц.рнляй;пняяхъ
юяйнтем о рюа. ╧10;100.0;18.38;28.5;2015-02-03 08:51:29;тюплоюпрмеп ннн тй;тюплярюмдюпр-кейяпедярбю нюн ц.йспяй;пняяхъ
ахмр кхойхи ахмркх л 10ялу 2л (мерйюмюъ нямнбю);5.0;66.03;102.5;2015-02-03 08:51:29;тюплоюпрмеп ннн тй;оюкэлю цй ннн;пняяхъ
бюкхднк рюа о/ъгшвм 60лц ╧10;50.0;25.46;39.5;2015-02-03 08:51:29;тюплоюпрмеп ннн тй;люпахнтюпл нюн;пняяхъ
бепюоюлхкю ц/ук рюа о/ок/н 40лц N50;10.0;28.0;34.5;2015-02-03 08:51:29;тюплоюпрмеп ннн тй;нгнм ннн;пняяхъ
дхлейяхд п-п 100лк хмд.союй;3.0;37.22;58.0;2015-02-03 08:51:29;тюплоюпрмеп ннн тй;рюрухлтюплопеоюпюрш нюн;пняяхъ
;10.0;18.0;22.5;2015-02-03 08:51:29;тюплоюпрмеп ннн тй;;
;2.0;125.24;175.5;2015-02-03 08:51:29;тюплоюпрмеп ннн тй;;
кеийнокюяршпэ аюйрепхжхд 6у10 ял мерйюм ням;30.0;5.34;8.5;2015-02-03 08:51:29;тюплоюпрмеп ннн тй;бепнтюпл гюн;пняяхъ
кхгнаюйр рюа. д/пюяяюяшбюмхъ ╧30;3.0;284.63;398.5;2015-02-03 08:51:29;тюплоюпрмеп ннн тй;анямюкей юн;анямхъ х цепжец
лерхкспюжхк 500лц ясоо. пейр. ╧10;3.0;48.02;74.5;2015-02-03 08:51:29;тюплоюпрмеп ннн тй;ахнухлхй нюн;пняяхъ
оекемйх яемх янтр цхцхемхвеяйхе ащияхй 60у60ял ╧10;1.0;176.47;247.5;2015-02-03 08:51:29;тюплоюпрмеп ннн тй;TORUNSKIE ZAKLADY MATERIALOV;онкэью
яюкхжхкнбни йхякнрш яохпр. п-п 2% тк. 40лк;10.0;9.6;13.0;2015-02-03 08:51:29;тюплоюпрмеп ннн тй;индмше реумнкнцхх х люпйерхмц ннн;пняяхъ
яанп цпсдмни N4 т/о 2ц N20;5.0;43.22;67.0;2015-02-03 08:51:29;тюплоюпрмеп ннн тй;тхрнтюпл мон ннн;пняяхъ
якюахйюо 7,5лц/лк йюокх дкъ опхелю бмсрпэ 10лк тк-йюоекэмхжю о/щ;3.0;51.63;80.5;2015-02-03 08:51:29;тюплоюпрмеп ннн тй;яхмрег нюн ц.йспцюм;пняяхъ
рюмрсл бепде 30лк яопеи;3.0;387.09;542.0;2015-02-03 08:51:29;тюплоюпрмеп ннн тй;юмфекхмх тпюмвеяйн я.о.ю.;хрюкхъ
