мЮХЛЕМНБЮМХЕ;йНК-БН;жЕМЮ ОНЯР;жЕМЮ ПНГМ;дЮРЮ;оНЯРЮБЫХЙ;оПНХГБНДХРЕКЭ;яРПЮМЮ
;1000.0;;1.5;2015-02-02 15:22:40;ебяеебю м.б. хо;;
охлютсжхм рюа. о/н 100лц ╧20;2.0;411.84;480.9;2015-02-02 15:24:43;йюрпем гюн тхкхюк мой б ц. нпек;ASTELLAS PHARMA EUROPE NL;мхдепкюмдш
сярпниярбн д/опнрхбнцпхайнбни напюанрйх насбх;1.0;996.7;1091.5;2015-02-02 15:24:43;йюрпем гюн тхкхюк мой б ц. нпек;рхлянм;пняяхъ
цпюмдюйяхм рюа. 50лц ╧60 ;1.0;644.2;902.0;2015-02-02 19:13:31;тюплоюпрмеп ннн тй;щцхя тюплюжебрхвеяйхи гюбнд нюн;бемцпхъ
дхлейяхд п-п 100лк хмд.союй;5.0;37.22;58.0;2015-02-02 19:13:31;тюплоюпрмеп ннн тй;рюрухлтюплопеоюпюрш нюн;пняяхъ
гнкнрюъ гбегдю окюяршпэ йнялер сяонй лсяйсям 7у10 N3;2.0;47.84;74.5;2015-02-02 19:13:31;тюплоюпрмеп ннн тй;всмжхм N9 тюплюяэчрхйюк тщйрнпх;йхрюи
кеийнокюяршпэ бепнтюпл 4у500ял;5.0;45.02;70.0;2015-02-02 19:13:31;тюплоюпрмеп ннн тй;бепнтюпл гюн;пняяхъ
лнрхкюй рюа. д/пюяяюя. 10лц ╧10;5.0;102.05;143.0;2015-02-02 19:13:31;тюплоюпрмеп ннн тй;бепнтюпл гюн;пняяхъ
лнрхкхсл рюа. о/н 10лц ╧30;2.0;446.24;625.0;2015-02-02 19:13:31;тюплоюпрмеп ннн тй;ъмяяем-нпрн ккя/яхкюц юц;тпюмжхъ
;5.0;12.42;19.5;2015-02-02 19:13:31;тюплоюпрмеп ннн тй;;
щмрепнтспхк йюоя 200лц ╧16;5.0;364.32;510.5;2015-02-02 19:13:31;тюплоюпрмеп ннн тй;анямюкей юн;анямхъ х цепжец
фюмхм дпюфе ╧21у3;0.666999995708;1731.62;2008.6;2015-02-02 19:18:57;бюье гднпнбэе;JENAPHARM;цеплюмхъ
цекембем цекэ д/мнц рсаю 75лк;2.0;76.45;118.5;2015-02-02 19:32:18;юбеярю;йнпнк╗бтюпл ннн;пняяхъ
цкхжекюйя 750лц ясоо. пейр. дкъ дереи ╧10;5.0;70.86;110.0;2015-02-02 19:32:18;юбеярю;лнятюплтюапхйю гюн;пняяхъ
лхй-пю нр йюькъ онп 1.7ц ясуюъ  (дкъ бгпня)(оюй);20.0;9.64;15.0;2015-02-02 19:32:18;юбеярю;бхтхреу гюн;пняяхъ
лсйюкрхм 50лц рюа ╧10;50.0;6.96;11.0;2015-02-02 19:32:18;юбеярю;бхтхреу гюн;пняяхъ
мюрпхъ укнпхд п-п д/хмт. 0,9% тк. 400лк;30.0;24.89;33.0;2015-02-02 19:32:18;юбеярю;щяйнл мой нюн;пняяхъ
мнкхжхм рюа о/о/н 400лц ╧10;5.0;109.39;153.5;2015-02-02 19:32:18;юбеярю;KRKA;пняяхъ
мнкхжхм рюа о/о/н 400лц ╧20;3.0;215.79;302.5;2015-02-02 19:32:18;юбеярю;KRKA;пняяхъ
пебхр 500 лц дпюфе ╧100;5.0;29.49;46.0;2015-02-02 19:32:18;юбеярю;люпахнтюпл нюн;пняяхъ
яанп цпсдмни ╧2 т/о 2ц ╧20;2.0;42.11;65.5;2015-02-02 19:32:18;юбеярю;гднпнбэе тхплю гюн;пняяхъ
яеангнк ьюлосмэ нр оепунрх 100лк + яеангнк 5лк оюй ╧5 (юйжхъ);3.0;224.18;314.0;2015-02-02 19:32:18;юбеярю;дхнмхя ннн;пняяхъ
тспняелхд рюа 40лц ╧50;30.0;9.53;12.0;2015-02-02 19:32:18;юбеярю;нгнм ннн;пняяхъ
укнпнтхккхор п-п д/леяр опхл люякъммши 2% тк 20лк;2.0;80.65;125.5;2015-02-02 19:32:18;юбеярю;бхтхреу гюн;пняяхъ
юмюспюм йюокх сьм. тк/йюо ярейкн 25 лк у1;1.0;183.65;236.9;2015-02-02 19:24:02;бюье гднпнбэе;гюланм я.о.ю.;хрюкхъ
аюйкняюм рюа. 10лц ╧50 ;1.0;183.17;256.5;2015-02-02 19:24:02;бюье гднпнбэе;POLPHARMA;онкэью
хмднйнккхп йюокх цкюгмше 0,1% тк.-йюо. 5лк ╧1;1.0;214.23;300.0;2015-02-02 19:24:02;бюье гднпнбэе;LABORATORIES SHOVEN S.A.;тпюмжхъ
охюяйкедхм 300 йюоя. ╧15;2.0;361.93;466.8;2015-02-02 19:24:02;бюье гднпнбэе;LABORATOIRES EXPANSCIENCE;хрюкхъ
рпхнбхр йюоя ╧30;2.0;112.69;158.0;2015-02-02 19:24:02;бюье гднпнбэе;KRKA;якнбемхъ
бндю лхмеп днмюр MG  1к;48.0;115.0;150.0;2015-02-02 19:35:05;мЮЦЮЕБЮ б. л. хо;йнкхмяйю юн;якнбемхъ
;24.0;25.0;39.0;2015-02-02 19:35:05;мЮЦЮЕБЮ б. л. хо;;
бндю яскхмйю йпелмхебюъ охрэебюъ кевеамн-ярнкнбюъ цюг. аср.ощ 1.25к;36.0;90.0;117.0;2015-02-02 19:35:05;мЮЦЮЕБЮ б. л. хо;PRVA KUPEL NA;онкэью
юебхр кхапхдепл йпел д/кхжю 50лк;1.0;135.58;190.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;дхмю + ннн;пняяхъ
юйбю люпхя ярпнмц яопеи тк. 30лк;2.0;197.67;277.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;ъдпюм цюкемяйхи кюанпюрнпхи юн;унпбюрхъ
юктюбхр йкюяяхй рюа ╧120;1.0;286.39;401.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;юйбхнм гюн;пняяхъ
юлапнаеме рюа 30лц ╧20;5.0;139.81;196.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;LUDWIG MERCKLE;цеплюмхъ
юлхйяхм 0,125 N6 рюак о/окем/нанкнв;5.0;525.03;634.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;тюплярюмдюпр-рнляйухлтюпл нюн ц.рнляй;пняяхъ
юлхндюпнм рюа 200лц ╧30;2.0;67.54;81.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;яебепмюъ гбегдю;пняяхъ
юпрпю рюа.о/н ╧120;1.0;1496.0;1571.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;чмхтюпл хмй;яью
юяйнбхр кхлнм рюа ьхо 1000лц ╧10;3.0;118.14;165.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;NATUR PRODUCT;мхдепкюмдш
юяйнпхк рюа ╧20;2.0;228.8;320.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;цкемлюпй тюплюяэчрхйюкг крд;хмдхъ
юяйнпхк щйяоейрнпюмр яхпно 200лк;3.0;289.3;405.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;цкемлюпй тюплюяэчрхйюкг крд;хмдхъ
юрюйюмд рюа 16лц ╧28;1.0;1488.96;1861.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;юярпюгемейю юа;ьбежхъ
ютксахм йюокх тк. 50 лк. у1;1.0;328.9;460.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;пхуюпд ахрмеп;юбярпхъ
аетсмцхм йнмж-р д/опхц. п-пю д/опхелю бмсрпэ 100 лк. у1;1.0;166.65;233.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;бхтхреу гюн;пняяхъ
ахмр щкюярхвмши 8у200ял;2.0;133.32;187.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;ннн кюслю тюапхйя LV;кюрбхъ
апхрнлюп рюа опнкнмц 5лц ╧30;2.0;340.78;477.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;кюанпюрнпхня мнбюц;хяоюмхъ
апнмухйсл я яхпно 100 лк;1.0;279.95;392.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;ю.мюрреплюмм щмд яхе. цлау;цеплюмхъ
бхйя юйрхб яхлорнлюйя онп опхц п-пю бмсрпэ (кхлнм.) оюй ╧10;1.0;286.88;402.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;пютрнм кюанпюрнпхг кхлхред (цяйу);цеплюмхъ
бхйя юйрхб яхлорнлюйя онп. опхцнр. п-пю д/бм. опхелю (кхлнм.) оюй. ╧5;1.0;163.57;229.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;пютрнм кюанпюрнпхг кхлхред (цяйу);цеплюмхъ
бхйя юйрхб яхмейя яопеи мюг 0.05% 15лк;2.0;233.86;327.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;PROCTER & GAMBLE;цеплюмхъ
бхрюлхм е гемрхбю йюоя. 100 лц ╧30;2.0;121.11;170.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;SLOVAKOFARMA/ZENTIVA A.S.;якнбюйхъ
бхрюлхм т йпел онксфхпмши рсаю 50лк пняяхъ;2.0;89.45;139.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;дхмю + ннн;пняяхъ
бхрюлхьйх ахн+оюярхкйх фебюрекэмше 2.5ц ╧30;1.0;366.51;513.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;SANTA  CRUZ  NUTRITIONALS;яью
бхрюлхьйх лскэрх окчя феб оюярхкйх ╧30;1.0;349.52;489.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;SUPPLEMENT SCIENCES INC;яью
бхрпсл рюа о/н ╧60;1.0;498.52;698.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;чмхтюпл хмй;яью
бхрпсл чмхнп феб рюа ╧30;1.0;313.72;439.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;чмхтюпл хмй;яью
бнкэрюпем ясоо пейр 100лц ╧5;1.0;222.42;311.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;NOVARTIS PHARMA;тпюмжхъ
цюярюк рюа д/пюяяюя ╧30;3.0;171.82;241.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;юбд.тюплю цлау х йн.йц/окхбю йпюйнб тюплюжебрхвеяйхи гюбнд ю.н.;онкэью
цюярюк рюа. д/пюяяюяшбюмхъ лърмше ╧24;2.0;167.42;234.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;окхбю упбюряйю д.н.н.;унпбюрхъ
цейяюяопеи ющп д/леярм опхл 2,5% тк 30ц;2.0;217.69;305.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;кюанпюрнпхх асьюпю-пейнпдюрх;тпюмжхъ
цкюсопняр 0.005% йюокх цкюгмше 2.5лк тк.-йюо. ╧3;1.0;1480.6;1851.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;й.н. пнлтюпл йнлоюмх я.п.к.;пслшмхъ
днйрнп лнл йнкд пюа люгэ д/мюпсф опхл  20ц;3.0;88.55;137.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;UNIQUE FARM LAB;хмдхъ
днооекэцепж юйрхб бхрюлхмш д/гднпнбшу бнкня х мнцреи йюоя 1150 лц╧30;1.0;357.19;500.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;QUEISSER PHARMA;цеплюмхъ
днооекэцепж юйрхб нлецю-3 йюоя. ╧30;1.0;240.6;337.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;QUEISSER PHARMA;цеплюмхъ
дсаю йнпю 50 ц;10.0;25.96;40.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;хбюм-вюи гюн;пняяхъ
гхкр рюа о/н 75лц ╧28;1.0;993.85;1133.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;KRKA;пняяхъ
гхрпнкхд йюоя. 250 лц у6;2.0;246.84;294.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;бюкемрю тюплюжебрхйю нюн;пняяхъ
хасйкхм чмхнп рюа дхяоепц ╧20;2.0;69.19;107.5;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;DR. REDDY"S;хмдхъ
хпхтпхм йюокх цкюгмше 2,5% 5лк;1.0;329.89;462.0;2015-02-03 09:46:07;юкэъмя уекяйею пся ннн;опнлед щйяонпря обр.крд;хмдхъ
