мЮХЛЕМНБЮМХЕ;йНК-БН;жЕМЮ ОНЯР;жЕМЮ ПНГМ;дЮРЮ;оНЯРЮБЫХЙ;оПНХГБНДХРЕКЭ;яРПЮМЮ
усдеел гю медекч "рпюдхжхнммне лемч я лъянл" йнлокейя охрюмхъ мю 5 дмеи у1;1.0;527.58;739.0;2015-02-02 19:07:09;хМЙНЛ-аХГМЕЯ ннн;кенбхр ннн;пняяхъ
юккнунк рюа о/н ╧10;50.0;7.45;12.0;2015-02-03 09:37:18;тюплоюпрмеп ннн тй;тюплярюмдюпр-рнляйухлтюпл нюн ц.рнляй;пняяхъ
юктюбхр б яегнм опнярсд рюа 525лц ╧60;1.0;216.32;303.0;2015-02-03 09:37:18;тюплоюпрмеп ннн тй;бмеьрнпц тюплю;пняяхъ
юяйнтем о рюа. ╧10;20.0;18.38;28.5;2015-02-03 09:37:18;тюплоюпрмеп ннн тй;тюплярюмдюпр-кейяпедярбю нюн ц.йспяй;пняяхъ
южерхкяюкхжхкнбюъ й-рю рюа 500 лц ╧10;200.0;4.44;5.5;2015-02-03 09:37:18;тюплоюпрмеп ннн тй;анпхянбяйхи гюбнд ледхжхмяйху опеоюпюрнб нюн;аекнпсяяхъ
аюухкш онкхщрхкем цкюдйхе 25лйл (оюпю) опнвмше хмд. союй;300.0;2.48;4.0;2015-02-03 09:37:18;тюплоюпрмеп ннн тй;кеийн ннн;пняяхъ
бюкнйнпдхм йюокх тк. 50 лк. у1;1.0;248.19;347.5;2015-02-03 09:37:18;тюплоюпрмеп ннн тй;йпебекэ лнигекэаюу цлау;цеплюмхъ
дхйкнтемюй люгэ 2% 30ц рсаю;10.0;14.9;23.5;2015-02-03 09:37:18;тюплоюпрмеп ннн тй;гекемюъ дсапюбю гюн;пняяхъ
дхлейяхд п-п 100лк хмд.союй;2.0;37.22;58.0;2015-02-03 09:37:18;тюплоюпрмеп ннн тй;рюрухлтюплопеоюпюрш нюн;пняяхъ
йюпдхнлюцмхк рюа. о/н 75лц +15,2 лц ╧30;5.0;187.85;263.0;2015-02-03 09:37:18;тюплоюпрмеп ннн тй;мхйнлед тюплю юя;дюмхъ
лспюбэхмши яохпр 50лк;10.0;9.19;14.5;2015-02-03 09:37:18;тюплоюпрмеп ннн тй;ннн ойо "цхоонйпюр";пняяхъ
оюоюгнк рюа N10;5.0;8.2;13.0;2015-02-03 09:37:18;тюплоюпрмеп ннн тй;хпахряйхи утг нюн;пняяхъ
опнйкюдйх мюрюкх мнплюк янтр ден а/йпшкшьей ╧10;10.0;26.08;40.5;2015-02-03 09:37:18;тюплоюпрмеп ннн тй;цхцхемю - яепбхя ннн;пняяхъ
ярпеояхкя лемрнк/щбйюкхор рюа д/пюяяюя ╧36;1.0;239.09;335.0;2015-02-03 09:37:18;тюплоюпрмеп ннн тй;RECKITT BENCKISER  FRANCE S.A;бекхйнапхрюмхъ
