мЮХЛЕМНБЮМХЕ;йНК-БН;жЕМЮ ОНЯР;жЕМЮ ПНГМ;дЮРЮ;оНЯРЮБЫХЙ;оПНХГБНДХРЕКЭ;яРПЮМЮ
лсйнтюкэй я гюоюунл юоекэяхмю яюье 5ц ╧20;1.0;241.56;278.0;2015-02-02 14:32:41;ебяеебю м.б. хо;DR. FALK PHARMA;цеплюмхъ
цеоюрпхм йюоя 330лц ╧60;2.0;328.23;383.3;2015-02-02 11:54:08;йюрпем гюн тхкхюк мой б ц. нпек;щбюкюп гюн;пняяхъ
цкелюг рюа. 4лц ╧30;4.0;762.8;840.0;2015-02-03 08:32:36;тюплоюпрмеп ннн тй;QUIMICA MONTPELLIER S.A.;юпцемрхмю
юмюопхкхм рюа 40лц ╧50;10.0;15.96;19.5;2015-02-03 08:32:52;тюплоюпрмеп ннн тй;рюрухлтюплопеоюпюрш нюн;пняяхъ
юмрхцпхоохм-люйяхлсл йюоя ╧20;1.0;256.16;359.0;2015-02-03 08:32:52;тюплоюпрмеп ннн тй;юмрхбхпюк гюн/ тюплопнейр гюн;пняяхъ
цпюмдюйяхм рюа. 50лц ╧60 ;2.0;644.2;902.0;2015-02-03 08:32:52;тюплоюпрмеп ннн тй;щцхя тюплюжебрхвеяйхи гюбнд нюн;бемцпхъ
йюокх гекемхмю 25лк тк;5.0;13.04;20.5;2015-02-03 08:32:52;тюплоюпрмеп ннн тй;ъпнякюбяйюъ тюпл т-йю;пняяхъ
нйремхяеор тк. 50лк (дегхмтхжхпсчыее япедярбн);1.0;284.63;398.5;2015-02-03 08:32:52;тюплоюпрмеп ннн тй;SCHULKE & MAYR;цеплюмхъ
яанп цпсдмни N4 т/о 2ц N20;6.0;43.22;67.0;2015-02-03 08:32:52;тюплоюпрмеп ннн тй;тхрнтюпл мон ннн;пняяхъ
щмрепнтспхк йюоя 200лц ╧16;10.0;375.71;526.0;2015-02-03 08:32:52;тюплоюпрмеп ннн тй;анямюкей юн;анямхъ х цепжец
щмрепнтспхк ясяо 200лц/5 лк 90лк;5.0;426.94;598.0;2015-02-03 08:32:52;тюплоюпрмеп ннн тй;анямюкей юн;анямхъ х цепжец
юдфхяеор /кхлнм/ рюак. д/пюяяюя. у24;5.0;72.38;112.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;юдфхн тюплюжебрхйюкг крд;хмдхъ
юдпхюмнк йюокх мюгюкэмше дкъ бгпнякшу тк 10лк;2.0;85.25;132.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;ZDRAVLE;якнбемхъ
югхрпнлхжхм  йюоя 500лц ╧3;20.0;75.24;92.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;опнхгбндярбн ледхйюлемрнб ннн;пняяхъ
юйбю люпхя яопеи мюг днгхп тк 30 лк я пюяошкхрекел ;10.0;203.39;285.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;ъдпюм цюкемяйхи кюанпюрнпхи юн;унпбюрхъ
юйпхдепл 0.05% йпел д/мюпсф опхл. 15ц;2.0;91.3;109.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;BRISTOL MYERS SQUIBBюйпхухм;пняяхъ
юкх йюоя 0,4ц ╧4;2.0;559.39;783.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;бхя йнялерхйя;пняяхъ
юктюбхр рхмеидфеп феб. рюа. 1ц ╧60;1.0;212.39;297.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;бмеьрнпц тюплю;пняяхъ
юкэтю д3-ребю йюоя. 0,5лйц ╧30;1.0;523.82;624.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;TEVA;хгпюхкэ
юлхйяхм 0,06 N10 рюак о/окем/нанкнв;2.0;484.77;585.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;тюплярюмдюпр-рнляйухлтюпл нюн ц.рнляй;пняяхъ
юлкндхохм рюа 10лц ╧30;30.0;26.4;33.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;нгнм ннн;пняяхъ
юлнйяхйкюб онп д/ опхц ясяо д/ опхелю бмсрпэ 125лц+31.25 лц/5 лк 25 ц тк.100лк;3.0;104.94;125.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;кей д.д.;якнбемхъ
юлнйяхйкюб онп д/опхц ясяо д/опхелю бмсрпэ 250+62.5 лц/5 лк тк 100лк ;4.0;264.33;314.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;кей д.д.;якнбемхъ
юлнйяхйкюб рюа о/о/н 875лц+125лц  ╧14;5.0;391.05;467.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;кей д.д.;якнбемхъ
юлохжхккхм 1000лц онп. д/опхц. п-пю д/бб/бл ббед. тк. ╧1;10.0;11.66;14.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;яхмрег нюн ц.йспцюм;пняяхъ
юмютепнм деряйхи рюа ╧20;20.0;165.22;231.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;люрепхю-ледхйю ункдхмц мот ннн;пняяхъ
юмбхлюйя онп. д/опхцнр. п-пю дкъ опхелю бмсрпэ кхлнммши оюй. 5ц N6 пняяхъ;3.0;129.58;181.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;тюплбхкюп мон ннн;пняяхъ
юяохпхм йюпдхн рюа. о/н 100лц ╧28;10.0;118.36;141.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;аюиеп;цеплюмхъ
юремнкнк рюа 50лц ╧30;5.0;45.98;56.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;PLIVA;унпбюрхъ
юсцлемрхм рюа о/н 875лц/125лц ╧14;5.0;349.91;416.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;ялхр йкъим ахвел йнмяэчлеп уекяйеп;бекхйнапхрюмхъ
юспнахм люгэ 20ц;1.0;220.77;309.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;GEDEON RICHTER;бемцпхъ
южхйкнбхп - юйня 200лц рюа ╧20;20.0;20.68;25.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;яхмрег нюн ц.йспцюм;пняяхъ
аюменжхм онп 10ц;3.0;310.42;435.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;лнмрюбхр цег.лау тюплюжнирхье тюапхй;юбярпхъ
аюпюкцхм л рюа. ╧20;10.0;132.77;186.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;AVENTIS PHARMA;хмдхъ
аюпясвнй аюкэгюл люяяюфмши деряйхи 30лк (пюгнцпебючыхи);1.0;52.62;82.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;дхмю окчя ннн/яйхлед ннн;пняяхъ
аеккюрюлхмюк рюа. о/н ╧30;1.0;111.43;156.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;тюплжемрп бхкюп гюн;пняяхъ
аекндепл люгэ 0,05% 15ц ;1.0;117.81;140.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;аексон кейюпярбю х йнялерхйю д.д.;унпбюрхъ
аеоюмрем йпел д/мюп опхл 5%  30ц;3.0;306.24;429.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;аюиеп;цеплюмхъ
ахтхтнпл ащах йюокх люяк д/бм опхелю  7лк  ;1.0;428.49;600.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;теппняюм ю/я;дюмхъ
асяйноюм рюа о/н 10лц ╧20;3.0;270.71;379.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;аепхмцеп хмцекэуюил хрюкхъ я.о.ю.;цеплюмхъ
бюгекхмнбне люякн 100лк тк д/опхел бм;5.0;47.74;74.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;рскэяйюъ тюплюжебрхвеяйюъ тюапхйю ннн;пняяхъ
бепньохпнм рюа 25лц ╧20;20.0;74.8;89.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;GEDEON RICHTER;бемцпхъ
бхрюлхм я ьхо. рюа 250лц ╧20;2.0;96.25;149.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;уелнтюпл ю.д.;яепахъ
бхрюлхьйх лскэрх окчя феб оюярхкйх ╧30;2.0;352.96;494.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;SUPPLEMENT SCIENCES INC;яью
;2.0;126.49;177.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;;
цеоюрпхм йюоя. ╧30 ;3.0;205.7;288.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;щбюкюп гюн;пняяхъ
цепахнм яхпно оепбнжберю тк. 150лк;5.0;221.32;310.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;KRKA;якнбемхъ
цкебн 0,5 N10 рюак о/окем/нанкнв;2.0;335.06;421.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;цкемлюпй тюплюяэчрхйюкг крд;хмдхъ
цкхмю йнялерхвеяйюъ гекемюъ я яепеапнл 100 ц;2.0;22.41;35.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;бхпяюбхъ ннн;пняяхъ
цкчйнгю п-п б/б 40% юло 10лк ╧10;2.0;41.36;51.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;якюбъмяйюъ юорейю ннн;пняяхъ
цпюллхдхм я юмеярерхйнл мен рюа д/пюяя 3лц N18 (9*2) оюв йюпр;10.0;169.62;237.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;бюкемрю тюплюжебрхйю нюн;пняяхъ
цпекйю пегхмнбюъ ╧3;1.0;104.39;146.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;юкэтюокюярхй назедхмемхе нюн;пняяхъ
деплнбеир люгэ 25ц;2.0;350.35;490.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;цкюйянялхрйкъим хмй.;онкэью
дфнмянмя аеах люякн деряйне 100лк;1.0;81.38;126.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;JOHNSON & JOHNSON SANTE BEAUTE FRANCE S.;хрюкхъ
дхюаернм лб 60лц рюа. я лндхтхж. бшяб. ╧30;10.0;274.45;327.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;кюанпюрнпхх яепбэе хмдюярпх/яепдхйя ннн;пняяхъ
дхйкюй цекэ д/мюпсфмнцн опхл 5% рсаю 50ц;1.0;202.29;283.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;яюкчрюя тюплю цлау;цеплюмхъ
дхнйяхдхм п-п д/бмсрпхонкнярмнцн х мюп опхл 10лц/лк юло 10лк ╧10;2.0;431.97;605.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;мнбняхаухлтюпл нюн;пняяхъ
дхпнрнм рюа 5лц ╧56;2.0;311.19;370.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;GEDEON RICHTER;бемцпхъ
дхпнрнм рюа. 10лц у 28;5.0;253.99;302.5;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;GEDEON RICHTER;бемцпхъ
днктхм сярпниярбн д/опнлшб мняю  240лк + я-бю д/опнлшб д/бгп 2ц ╧10;1.0;204.09;286.0;2015-02-03 08:33:04;йюрпем гюн тхкхюк мой б ц. нпек;дхмюлхйю тхплю ннн;пняяхъ
