Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
Мотилиум 10мг №30 тб.;6.0;404.58;547.0;2015-02-03 00:00:00.00; ЗАО ЦВ "Протек";;
Роксера таб. п/о плён. 10 мг №30 ;3.0;472.12;639.0;2015-02-03 00:00:00.00; ЗАО ЦВ "Протек"; KRKA;Словения
Слабилен 0,75% 15мл фл/капельница;6.0;108.13;157.0;2015-02-03 00:00:00.00; ЗАО ЦВ "Протек";;
Викасол 0.015гТаб. Х30;5.0;19.11;26.0;2015-02-02 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Мидокалм 150мг №30 др.;5.0;264.61;357.0;2015-02-02 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Капотен 25мг №40 тб.;10.0;174.26;209.8;2015-02-02 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Лосек Мапс 20мг Таб. п/пл/об. Х14 (R) ;1.0;196.55;236.2;2015-02-02 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; АстраЗенека АБ;ШВЕЦИЯ
Кальцемин Адванс  №60 тб. п/о;5.0;488.7;661.0;2015-02-02 00:00:00.00;Арал Плюс;;
Безорнил мазь туба 10г Китай ;2.0;165.33;223.0;2015-02-03 00:00:00.00;ЗАО "Альянс Хелскеа"; Mayinglong Pharmaceutical;Китай
Бинелол табл. 5мг N28 Греция-Хорватия ;3.0;576.84;779.0;2015-02-03 00:00:00.00;ЗАО "Альянс Хелскеа"; Specifar S.A. - Belupo;Греция-Хорватия
Бромгексин др. 8мг N25 Германия ;10.0;87.45;123.0;2015-02-03 00:00:00.00;ЗАО "Альянс Хелскеа"; Berlin-Chemie AG/Menarini Group;Германия
Комбилипен р-р д/ин. амп. 2мл N10 Россия ;4.0;194.48;263.0;2015-02-03 00:00:00.00;ЗАО "Альянс Хелскеа"; Фармстандарт-Уфимский вит.з-д ОАО;Россия
Лориста НД табл. п.п.о 100мг+25мг N30 Словения ;2.0;356.07;479.0;2015-02-03 00:00:00.00;ЗАО "Альянс Хелскеа"; KRKA d.d. Novo mesto АО;Словения
Мовалис р-р д/ин. амп. 15мг 1.5мл  N3 Испания ;5.0;531.96;714.0;2015-02-03 00:00:00.00;ЗАО "Альянс Хелскеа"; Boehringer Ingelheim Espana S.A.;Испания
Монурал гранулы д/р-ра пакет 3г N1 Швейцария ;4.0;417.89;561.0;2015-02-03 00:00:00.00;ЗАО "Альянс Хелскеа"; Zambon Switzerland Ltd;Швейцария
Низорал шампунь 2% фл 60мл Бельгия ;2.0;512.27;689.0;2015-02-03 00:00:00.00;ЗАО "Альянс Хелскеа"; Janssen Pfarmaceutica NV;Бельгия
Синупрет др. N50 Германия ;6.0;270.27;365.0;2015-02-03 00:00:00.00;ЗАО "Альянс Хелскеа"; Bionorica SE;Германия
Аллохол тб №10;50.0;9.5;9.5;2015-02-02 00:00:00.00;ООО "Алди-Фарм" Красноармейский,48;;
Вольтарен 1% Эмульгель 50г;3.0;271.37;367.0;2015-02-03 00:00:00.00;ЗАО НПК "Катрен";;
ВОЛЬТАРЕН ЭМУЛЬГЕЛЬ 2% 50,0 ГЕЛЬ ;2.0;350.57;473.0;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; Новартис Консьюмер Хелс С.А.;Швейцария
КОМБИЛИПЕН 2МЛ N5 АМП Р-Р В/М ;4.0;111.98;152.0;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; Фармстандарт-Уфимский витаминный завод;Россия
Мексидол таб. п/о 125мг №30;5.0;199.32;242.0;2015-02-03 00:00:00.00;ЗАО НПК "Катрен";;
МЕКСИДОЛ 0,125 N50 ТАБЛ П/О ;5.0;328.57;398.2;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; ЗиО-Здоровье;Россия
Метипред 4мг №30 тб.;4.0;177.21;211.0;2015-02-03 00:00:00.00;ЗАО НПК "Катрен";;
НАЗОНЕКС 50МКГ/ДОЗА 60 ДОЗ НАЗ СПРЕЙ ;3.0;472.45;564.6;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; Шеринг-Плау Лабо Н.В./ Акрихин ХФК ОАО;Бельгия
НИПЕРТЕН 0,005 N30 ТАБЛ П/О ;5.0;132.55;157.9;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; КРКА-РУС;Россия
ПАНТОКАЛЬЦИН 0,5 N50 ТАБЛ ;2.0;505.12;681.0;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; Валента Фармацевтика;Россия
Флебодиа 600 таб п/о 0,6г №30;2.0;810.04;1074.0;2015-02-03 00:00:00.00;ЗАО НПК "Катрен";;
Апизартрон мазь 20г;1.0;176.06;237.0;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Вольтарен 1% Эмульгель 100г гель д/наруж.прим. ;2.0;359.81;483.0;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Новартис Консьюмер Хелс С.А.;Германия
Вольтарен эмульгель 1% 20г Новартис;3.0;160.0;216.0;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Ганатон 50мг Таб. п/о Х40 ;2.0;443.41;594.0;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Abbott S.P.A.;Япония
Макситрол 0.1% 5мл Фл. Б М;5.0;310.48;420.0;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Таблетки от кашля №10;30.0;26.95;37.0;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Гриппферон 10000МЕ/мл капли в нос 10мл;5.0;230.43;278.3;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Дюфастон 10мг №20 тб.;5.0;481.86;574.2;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Остерепар 70мг Таб. Х4 (R) ;3.0;254.97;305.8;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Польфарма Фармацевтический завод;ПОЛЬША
Пимафуцин Ваг. Супп. 100мг Х6 (R) ;2.0;482.53;575.0;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Теммлер С.р.Л;Италия
Березовые почки 50г;4.0;86.98;118.0;2015-02-04 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Индоколлир 0,1% глазные капли 5мл фл.-кап.;6.0;251.98;339.0;2015-02-04 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Никофлекс мазь 50г;3.0;143.32;194.0;2015-02-04 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Дюфалак сироп 200мл;3.0;276.93;330.0;2015-02-04 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Дюфалак сироп 500мл;3.0;401.59;478.4;2015-02-04 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Мин.вода Ессентуки-17 Аллея ист. 1,5л ПЭТ;12.0;23.6;32.0;2015-02-04 00:00:00.00;ИП Бобков;;
Мин.вода Ессентуки-17  Аллея ист. 0,5л  Стекло;20.0;20.97;29.0;2015-02-04 00:00:00.00;ИП Бобков;;
Мин.вода Ессентуки-4 стекло Аллея ист. 0,5л;20.0;20.97;29.0;2015-02-04 00:00:00.00;ИП Бобков;;
АНТИСТЕН МВ 0,035 N60+60 ТАБЛ ПРОЛОНГ П/О ;15.0;547.8;740.0;2015-02-04 00:00:00.00;ЗАО НПК "Катрен"; ОЗОН;Россия
БИСАНГИЛ 0,005+0,00625 N30+30 ТАБЛ П/О ;15.0;268.73;364.0;2015-02-04 00:00:00.00;ЗАО НПК "Катрен"; ОЗОН;Россия
ЛИВОДЕКСА 0,3 N100 ТАБЛ П/О ;5.0;751.3;854.0;2015-02-04 00:00:00.00;ЗАО НПК "Катрен"; Сан Фармасьютикал Индастриз Лтд;Индия
Маалокс 15мл №30;2.0;517.22;699.0;2015-02-04 00:00:00.00;ЗАО НПК "Катрен";;
ОВЕНКОР 0,02 N30+30 ТАБЛ П/О ;15.0;432.19;527.2;2015-02-04 00:00:00.00;ЗАО НПК "Катрен"; ОЗОН;Россия
АВАМИС 27,5МКГ/ДОЗА 120ДОЗ N1 ФЛАК НАЗ СПРЕЙ ;4.0;589.6;791.0;2015-02-04 00:00:00.00;ЗАО НПК "Катрен"; Глаксо Оперэйшенс Великобритания Лтд;Соединенное королевство
Натурелла нормал с крыл. 10шт;3.0;48.52;66.0;2015-02-04 00:00:00.00;ЧП Орехов С.И.;;
Натурелла нормал без крыл. 12шт;2.0;48.52;66.0;2015-02-04 00:00:00.00;ЧП Орехов С.И.;;
Натурелла Ультра Нормал  10шт;5.0;56.04;76.0;2015-02-04 00:00:00.00;ЧП Орехов С.И.;;
Олвейз  Ультра лайт №10;5.0;74.01;100.0;2015-02-04 00:00:00.00;ЧП Орехов С.И.;;
Олвейз ультра супер плюс 20х8;5.0;74.01;100.0;2015-02-04 00:00:00.00;ЧП Орехов С.И.;;
ТАМПАКС компак СУПЕР с пласт.аплик.           8шт. ;2.0;81.11;110.0;2015-02-04 00:00:00.00;ЧП Орехов С.И.; ;Венгрия
Тампакс Компак Супер с аплик. Х16 И/м;2.0;150.49;204.0;2015-02-04 00:00:00.00;ЧП Орехов С.И.;;
ТАМПАКС компак СУПЕР  ПЛЮС  с пласт.аплик.  16шт. ;2.0;148.99;202.0;2015-02-04 00:00:00.00;ЧП Орехов С.И.; Procter&Gamble;Венгрия
AURA вл. салф. д/детей ультра комфорт 100шт алоэ+вит Е 3044/4397 ;6.0;56.11;76.0;2015-02-04 00:00:00.00;ЧП Орехов С.И.; ;Россия
"AURA" Бутылочка д/кормл. классич 250мл СОЛНЦЕ И ЛУНА 3813/8803 ;1.0;122.95;166.0;2015-02-04 00:00:00.00;ЧП Орехов С.И.; ;Китай
Подгузники Сени-Медиум для лежачих больных 10шт;2.0;377.4;499.0;2015-02-04 00:00:00.00;ЧП Орехов С.И.;;
Подгузники Сени-Ладж для лежачих больных 10шт;3.0;454.64;599.0;2015-02-04 00:00:00.00;ЧП Орехов С.И.;;
СЕНИ СОФТ БЕЙСИК пеленки 90х60 10шт ;6.0;210.66;284.0;2015-02-04 00:00:00.00;ЧП Орехов С.И.; ;Польша
Лейкопластырь TENERIS T-Pore фиксир. с впит.подуш. 15х10см ;5.0;16.16;23.0;2015-02-04 00:00:00.00;ЧП Орехов С.И.; ;Китай
Лейкопластырь TENERIS T-Pore фиксир. с впит.подуш. 10х10см ;5.0;14.56;21.0;2015-02-04 00:00:00.00;ЧП Орехов С.И.; ;Китай
Джонсонс детское масло 100мл;2.0;61.73;84.0;2015-02-04 00:00:00.00;ЧП Орехов С.И.;;
Хна иранская натуральная 25г ;5.0;9.7;14.0;2015-02-04 00:00:00.00;ЧП Орехов С.И.; ;Россия
Аллопуринол табл. 100мг N50 Россия ;5.0;75.79;92.1;2015-02-06 00:00:00.00;ЗАО "Альянс Хелскеа"; Органика ОАО;Россия
Тромбо АСС табл. п.п.о кишечнораств. 100мг N28 Австрия ;13.0;45.76;56.6;2015-02-06 00:00:00.00;ЗАО "Альянс Хелскеа"; G.L. Pharma GmbH-Lannacher Hailmittel Gm;Австрия
Энам табл. 10мг N20 Индия ;10.0;54.12;66.9;2015-02-06 00:00:00.00;ЗАО "Альянс Хелскеа"; Dr.Reddy`s Laboratories Ltd.;Индия
