Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
Акридерм ГК крем 15г туба ;2.0;351.87;429.3;2015-02-03 00:00:00.00;"СИА Интернейшнл" ЗАО; Акрихин ОАО;РОССИЯ
Алерана Новый шампунь д/сух./норм. волос 250мл .@ ;1.0;278.03;339.2;2015-02-03 00:00:00.00;"СИА Интернейшнл" ЗАО; Вертекс ЗАО;РОССИЯ
Аскорбиновая кислота 50мг Таб. жевательные Х10 ;25.0;11.72;15.0;2015-02-03 00:00:00.00;"СИА Интернейшнл" ЗАО; Марбиофарм ОАО;РОССИЯ
Бинт Эластичный Медицинский 8см Х 5м модель 2 Latex Free И/м ;6.0;311.25;379.75;2015-02-03 00:00:00.00;"СИА Интернейшнл" ЗАО; Лаума Фабрикс ООО;ЛАТВИЯ
Бромгексин 4 Берлин-Хеми р-р д/пр. внутрь 4мг/5мл 60мл Фл. Б М ;1.0;138.11;168.5;2015-02-03 00:00:00.00;"СИА Интернейшнл" ЗАО; Берлин-Хеми АГ/Менарини Групп;ГЕРМАНИЯ
Граммидин НЕО Таб. для рассасывания Х18 ;5.0;169.68;207.05;2015-02-03 00:00:00.00;"СИА Интернейшнл" ЗАО; Валента Фармацевтика ОАО;РОССИЯ
Граммидин с анестетиком НЕО Таб. для рассасывания Х18 ;3.0;183.03;223.3;2015-02-03 00:00:00.00;"СИА Интернейшнл" ЗАО; Валента Фармацевтика ОАО;РОССИЯ
Зорекс 250мг+10мг капс. Х2 ;1.0;154.44;188.45;2015-02-03 00:00:00.00;"СИА Интернейшнл" ЗАО; Валента Фармацевтика ОАО;РОССИЯ
Квикс спрей назальный 30мл Фл. @ ;2.0;315.52;384.95;2015-02-03 00:00:00.00;"СИА Интернейшнл" ЗАО; Берлин-Хеми АГ/Менарини Групп;ГЕРМАНИЯ
Клеенка подкладная резинотканевая 1м И/м ;1.0;90.63;110.6;2015-02-03 00:00:00.00;"СИА Интернейшнл" ЗАО; Ярославль-Резинотехника;РОССИЯ
Лив-52 Таб. Х100 ;2.0;246.02;299.7;2015-02-03 00:00:00.00;"СИА Интернейшнл" ЗАО; Хималайя Драг Ко (sc);ИНДИЯ
Масло ЛЬНЯНОЕ 350мл .Д/т ;3.0;83.66;105.0;2015-02-03 00:00:00.00;"СИА Интернейшнл" ЗАО; Аспера;РОССИЯ
Масло эфирное ПАЧУЛИ 10мл .@ ;1.0;114.73;140.0;2015-02-03 00:00:00.00;"СИА Интернейшнл" ЗАО; Аспера;РОССИЯ
Масло эфирное ЭВКАЛИПТ 10мл .@ ;3.0;47.84;65.0;2015-02-03 00:00:00.00;"СИА Интернейшнл" ЗАО; Аспера;РОССИЯ
Пчелиный чистотел крем-гель 10мл .@ ;2.0;81.52;99.45;2015-02-03 00:00:00.00;"СИА Интернейшнл" ЗАО; Киров Г.А. ИП;РОССИЯ
Себидин Таб. д/рассасывания Х20 ;1.0;117.12;142.9;2015-02-03 00:00:00.00;"СИА Интернейшнл" ЗАО; ГлаксоСмитКляйн Фармасьютикалз С.А.;ПОЛЬША
