Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
Аевит 0,2г капс.№20(Вит.Е+ретинол) ;8.0;57.32;79.8;2015-02-16 00:00:00.00;ООО "ПУЛЬС Брянск"; ЛЮМИ ООО;Россия
Аллохол таб.п/о №10(Желчь+чеснок+актив.уг.+крапива) ;30.0;9.48;14.9;2015-02-16 00:00:00.00;ООО "ПУЛЬС Брянск"; Фармстандарт-Томскхимфарм ОАО;Россия
Алтея сироп 125г фл б/уп ;6.0;40.76;61.5;2015-02-16 00:00:00.00;ООО "ПУЛЬС Брянск"; Вифитех ЗАО;Россия
Аскорбинка с сахаром(апельсин)3,0г таб.№10(Вит.С-25мг) ;50.0;4.47;7.0;2015-02-16 00:00:00.00;ООО "ПУЛЬС Брянск"; Фарм-Тригода ООО;Россия
Афобазол 10мг таб.№60(Морфолиноэтилтиоэтоксибензимидазол) ;3.0;255.29;335.5;2015-02-16 00:00:00.00;ООО "ПУЛЬС Брянск"; Фармстандарт-Лексредства ОАО;Россия
Бинт нестерильный 5х10см И/м ;20.0;6.2;12.0;2015-02-16 00:00:00.00;ООО "ПУЛЬС Брянск"; Русвата ООО;Россия
Бинт нестерильный 7х14см И/м ;25.0;13.33;21.5;2015-02-16 00:00:00.00;ООО "ПУЛЬС Брянск"; Русвата ООО;Россия
Бинт стерильный 5х10см И/м ;20.0;7.4;14.5;2015-02-16 00:00:00.00;ООО "ПУЛЬС Брянск"; Русвата ООО;Россия
Бинт стерильный 7х14см И/м ;10.0;14.18;25.0;2015-02-16 00:00:00.00;ООО "ПУЛЬС Брянск"; Русвата ООО;Россия
Биопарокс(Фузафунгин) аэр.д/инг.10мл (400доз) Сп.Б ;1.0;423.26;549.5;2015-02-16 00:00:00.00;ООО "ПУЛЬС Брянск"; Egis;Венгрия
Боярышника настойка  25мл фл.(N) ;24.0;11.36;18.5;2015-02-16 00:00:00.00;ООО "ПУЛЬС Брянск"; Флора Кавказа ОАО;Россия
Валокордин 20мл капли ;5.0;126.73;169.5;2015-02-16 00:00:00.00;ООО "ПУЛЬС Брянск"; Krewel Meuselbach;Германия
Вата стерил.250г медиц.хирург. ;5.0;52.71;80.0;2015-02-16 00:00:00.00;ООО "ПУЛЬС Брянск"; Лейко ООО;Россия
Токоферола ацетат 10% масл.р-р 20мл (Витамин Е) ;5.0;20.47;32.7;2015-02-16 00:00:00.00;ООО "ПУЛЬС Брянск"; ЭКОлаб ЗАО;Россия
Вобэнзим таб.п/о №200 Сп.Б ;1.0;1446.41;1952.6;2015-02-16 00:00:00.00;ООО "ПУЛЬС Брянск"; Мукос Эмульсионс ГмбХ;Германия
Гевискон Двойное действ.жев.таб.№ 8 Мята(Натрия альгинат+натрия гидрокарб.+кальция карб.) ;3.0;111.27;155.7;2015-02-16 00:00:00.00;ООО "ПУЛЬС Брянск"; Reckitt Benckiser;Великобритания
