Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
Интернет-заказ № 1368834;1.0;0.0;892.7;2015-02-02 00:00:00.00;ЗАО НПК "Катрен";;
АМБРОКСОЛ ТАБ 30МГ №20 ;10.0;16.96;23.7;2015-02-24 00:00:00.00;ООО "Фармпартнер"; ОЗОН ООО;РОССИЯ
АСКОРБИНОВАЯ К-ТА ДРАЖЕ 50МГ №200 ;30.0;14.32;17.4;2015-02-24 00:00:00.00;ООО "Фармпартнер"; МАРБИОФАРМ ОАО;РОССИЯ
НИТРОСОРБИД ТАБ 10МГ №50 ;10.0;21.4;26.2;2015-02-24 00:00:00.00;ООО "Фармпартнер"; ОЗОН ООО;РОССИЯ
ТРИГРИМ ТАБ 5МГ №30 ;5.0;203.0;247.6;2015-02-24 00:00:00.00;ООО "Фармпартнер"; ПОЛЬФАРМА СА ФЗ;ПОЛЬША
ФОЛИЕВАЯ КИСЛОТА ТАБ 0.001 Г №50 БЛИСТЕР ИНД/УП ;10.0;24.61;30.5;2015-02-24 00:00:00.00;ООО "Фармпартнер"; ОЗОН ООО;РОССИЯ
Карсил др. №80;60.0;242.19;295.4;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Мезим Форте Таб.П/о Х20 (R) ;45.0;63.5;76.2;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Берлин-Хеми АГ/Берлин-Фарма ЗАО;РОССИЯ
АЗИТРОМИЦИН 0,5 N3 КАПС ;10.0;75.79;92.6;2015-02-24 00:00:00.00;ЗАО НПК "Катрен"; ПРОИЗВОДСТВО МЕДИКАМЕНТОВ;россия
АМОКСИКЛАВ 0,875+0,125 N14 ТАБЛ П/О ;3.0;369.38;445.3;2015-02-24 00:00:00.00;ЗАО НПК "Катрен"; Лек Д.Д.;словения
ГЕКСИКОН 0,016 N10 СУПП ВАГ ;3.0;234.08;282.4;2015-02-24 00:00:00.00;ЗАО НПК "Катрен"; Нижфарм ОАО;россия
ИММУНАЛ N20 ТАБЛ ;5.0;206.69;252.1;2015-02-24 00:00:00.00;ЗАО НПК "Катрен"; Лек Д.Д.;словения
КОМПЛИВИТ N60 ТАБЛ П/О ;7.0;106.81;130.3;2015-02-24 00:00:00.00;ЗАО НПК "Катрен"; Фармстандарт-Уфимский витаминный завод;россия
КОМПЛИВИТ N60 ТАБЛ П/О ;3.0;106.81;130.3;2015-02-24 00:00:00.00;ЗАО НПК "Катрен"; Фармстандарт-Уфимский витаминный завод;россия
МЕТОКАРД 0,1 N30 ТАБЛ ;2.0;64.35;77.1;2015-02-24 00:00:00.00;ЗАО НПК "Катрен"; Польфарма Фармацевтический завод С.А.;польша
НИКОТИНОВАЯ К-ТА-ВИАЛ 0,01/МЛ 1МЛ N10 АМП Р-Р Д/ИН ;6.0;57.09;79.9;2015-02-24 00:00:00.00;ЗАО НПК "Катрен"; Си Эс Пи Си Оуи Фармасьютикал Ко.Лтд.;китай
РИНОСТОП 0,1% 10МЛ КАПЛИ ;50.0;24.64;30.1;2015-02-24 00:00:00.00;ЗАО НПК "Катрен"; ЛЕККО  ЗАО;россия
СИМИЛАК 2 СМЕСЬ СУХ МОЛОЧНАЯ Д/ДЕТ700,0 ;2.0;386.32;471.3;2015-02-24 00:00:00.00;ЗАО НПК "Катрен"; Arla Foods amba Arinco;дания
СИНТОМИЦИНА 10% 25,0 ЛИНИМЕНТ ;10.0;19.47;27.2;2015-02-24 00:00:00.00;ЗАО НПК "Катрен"; Тульская фармацевтическая фабрика;россия
УСПОКОЙ ГОМЕОП N20 ТАБЛ ;5.0;47.41;66.3;2015-02-24 00:00:00.00;ЗАО НПК "Катрен"; Материа Медика Холдинг НПФ ООО;россия
ФИЗИОТЕНЗ 0,0002 N14 ТАБЛ П/ПЛЕН/ОБОЛОЧ ;6.0;245.63;293.5;2015-02-24 00:00:00.00;ЗАО НПК "Катрен"; Роттендорф Фарма ГмбХ/Эбботт Хелскеа САС;германия
ЭРВЫ ШЕРСТИСТОЙ ТРАВА 50,0 ;5.0;27.06;37.8;2015-02-24 00:00:00.00;ЗАО НПК "Катрен"; ЗДОРОВЬЕ ФИРМА;россия
Интернет-заказ №1446464;1.0;0.0;240.0;2015-02-24 00:00:00.00;ЗАО НПК "Катрен";;
КАМФОРНЫЙ СПИРТ 10% 40МЛ ;30.0;8.64;12.1;2015-02-03 00:00:00.00;ООО "Фармпартнер"; ИВАНОВСКАЯ Ф/Ф ОАО;РОССИЯ
САЛИЦИЛОВОЙ К-ТЫ Р-Р СПИРТОВОЙ 2% ФЛ 40 МЛ ;70.0;8.64;12.0;2015-02-03 00:00:00.00;ООО "Фармпартнер"; ЙОДНЫЕ ТЕХНОЛОГИИ И МАРКЕТИНГ ООО;РОССИЯ
КАЛЕНДУЛЫ Н-КА фл 40мл Иваново (инд. уп.) ;40.0;28.6;40.0;2015-02-03 00:00:00.00;ООО "Авеста фармацевтика"; Ивановская ФФ ОАО;РОССИЯ
СМЕКТА пор д/сусп д/пр внутрь 3г N10 апельсин ;10.0;103.41;129.9;2015-02-03 00:00:00.00;ООО "Авеста фармацевтика"; Beaufour Ipsen Industry;ФРАНЦИЯ
СМЕКТА пор д/сусп д/пр внутрь 3г N10 ваниль ;10.0;103.41;129.3;2015-02-03 00:00:00.00;ООО "Авеста фармацевтика"; Beaufour Ipsen Industry;ФРАНЦИЯ
Бактистатин капсулы 500 мг №20 ;1.0;234.76;312.2;2015-02-03 00:00:00.00;Ирвин 2; Крафт;Россия
Де-Нол таблетки покрытые пленочной оболочкой 120 мг №56 ;10.0;461.76;559.7;2015-02-03 00:00:00.00;Ирвин 2; Ортат ЗАО;Россия
Зинерит порошок для приготовления раствора для наружного применения, флаконы пла ;3.0;515.59;629.0;2015-02-03 00:00:00.00;Ирвин 2; Астеллас Фарма Юроп Б.В.;
Конкор таблетки покрытые пленочной оболочкой  5 мг №30 ;14.0;195.17;233.7;2015-02-03 00:00:00.00;Ирвин 2; Мерк;Германия
Конкор таблетки покрытые пленочной оболочкой  5 мг №30 ;6.0;195.17;233.7;2015-02-03 00:00:00.00;Ирвин 2; Мерк;Германия
Лозап плюс таблетки покрытые пленочной оболочкой  50 мг + 12,5 мг №30 ;10.0;277.79;338.9;2015-02-03 00:00:00.00;Ирвин 2; Зентива а.с.;Чешская Республ
Милдронат  капсулы  250 мг №40 ;5.0;244.97;294.7;2015-02-03 00:00:00.00;Ирвин 2; Гриндекс;Латвия
Мильгамма раствор для внутримышечного введения  100 мг + 100 мг + 1 мг/2 мл №5 ;10.0;211.77;258.3;2015-02-03 00:00:00.00;Ирвин 2; Солюфарм ГмбХ;Германия
Найз гель для наружного применения 1 % №1 ;3.0;122.56;149.5;2015-02-03 00:00:00.00;Ирвин 2; Д-р Редди`с Лабораторис Лтд.;Индия
Нигепан суппозитории для ректального применения  №10 ;2.0;144.68;176.5;2015-02-03 00:00:00.00;Ирвин 2; НИЖФАРМ;Россия
Омнитус таблетки с модифицированным высвобождением покрытые пленочной оболочкой ;3.0;186.08;227.0;2015-02-03 00:00:00.00;Ирвин 2; Хемофарм;Сербия
Прокто-гливенол суппозитории ректальные  №10 ;2.0;325.94;397.6;2015-02-03 00:00:00.00;Ирвин 2; Делфарм Унинж САС;Франция
Ранитидин таблетки покрытые пленочной оболочкой 150 мг №30 ;5.0;43.68;54.9;2015-02-03 00:00:00.00;Ирвин 2; Хемофарм;Сербия
Ринзасип с витамином С порошок для приготовления раствора для приема внутрь лимо ;5.0;94.03;114.7;2015-02-03 00:00:00.00;Ирвин 2; Юник Фармасьютикал Лабораториз;Индия
Стрепсилс таблетки для рассасывания лимонные №24 ;6.0;146.41;178.6;2015-02-03 00:00:00.00;Ирвин 2; Рекитт Бенкизер Хелскэр Интернешнл Лтд.;Соединенное Кор
Флемоксин Солютаб таблетки диспергируемые 1000 мг №20 ;3.0;397.51;481.2;2015-02-03 00:00:00.00;Ирвин 2; Астеллас Фарма Юроп Б.В.;
Энтеродез порошок для приготовления раствора для приема внутрь  №1 ;10.0;87.59;106.8;2015-02-03 00:00:00.00;Ирвин 2; Мосхимфармпрепараты им. Н.А. Семашко;Россия
Антигриппин С Вит. С Таб. Раств. Дет.Х10;5.0;190.93;232.9;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Аркоксиа 90мг Таб. п/о плен. Х7 ;2.0;399.74;487.6;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Мерк Шарп и Доум;НИДЕРЛАНДЫ
Артроцин крем с хондроитином и глюкозамином 50мл .@ ;5.0;103.4;137.5;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; ВИС ООО;РОССИЯ
Бромгексин  4мг/5мл 60мл р-р  Берлин-Хеми;5.0;128.08;156.2;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Гипотиазид  25мг №20 тб.;5.0;81.38;97.5;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Глидиаб МВ 30мг Таб. с модифицир. высв. Х60 (R) ;4.0;145.8;175.8;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Акрихин ОАО;РОССИЯ
Граммидин с анестетиком НЕО Таб. для рассасывания Х18 ;6.0;163.04;198.9;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Валента Фармацевтика ОАО;РОССИЯ
Диклофенак 100мг Супп. рект. Х10 ;5.0;28.73;40.2;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Биохимик ОАО (sc);РОССИЯ
Имунорикс 400мг 7мл р-р д/приема внутрь Фл. Х10 Б ;2.0;711.76;825.6;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Doppel Farmaceutici S.R.L;ИТАЛИЯ
Курантил N 25мг №120 тб.п/о;3.0;324.72;396.1;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Курантил N 75мг № 40 тб.п/о;3.0;489.96;597.7;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Лосек Мапс 20мг Таб. п/пл/об. Х14 (R) ;1.0;188.31;227.9;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; АстраЗенека АБ;ШВЕЦИЯ
Магне В6 №50 тб.;5.0;508.22;620.0;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Масло эфирное ПИХТА 10мл .@ ;10.0;43.87;62.0;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Аспера;РОССИЯ
Мезим форте 10000 №20 тб. Берлин-Хеми;5.0;162.71;196.8;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Офтолик капли глазные 10мл Фл.-кап. Х1 ;3.0;262.12;319.7;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Сентисс Фарма Пвт.Лтд.;ИНДИЯ
Симбикорт Турбухалер 160+4.5мкг/доза пор. д/ингаляций дозир. 60доз (R) ;1.0;1304.3;1488.3;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; АстраЗенека АБ/ЗиО-Здоровье ЗАО;РОССИЯ
Супрадин Кидс гель 175г Туба .@ ;1.0;304.9;405.5;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Bayer Consumer Care AG;ГЕРМАНИЯ
Толокнянки Листья Пачка 50г, Иван-чай;5.0;25.12;35.1;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула";;
Часы песочные процедурные 5мин Б И/м ;3.0;98.02;119.5;2015-02-24 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; МедСтЭк ООО;РОССИЯ
Аква марис 30мл наз.спрей ;6.0;197.01;240.3;2015-02-03 00:00:00.00;Фарм Комплект; Jadran;ХОРВАТИЯ
Аквалор бэби 125 мл спрей д/детей ;2.0;295.82;360.8;2015-02-03 00:00:00.00;Фарм Комплект; Laboratories Chemineau;ФРАНЦИЯ
Алфавит классик №60 таб.(бад) ;3.0;175.32;233.1;2015-02-03 00:00:00.00;Фарм Комплект; Внешторг Фарма;РОССИЯ
Арбидол 100мг №20 капс. ;5.0;378.35;458.3;2015-02-03 00:00:00.00;Фарм Комплект; Фармстандарт Лексредства;РОССИЯ
Валз 80мг №28 таб. п/о ;3.0;214.31;261.4;2015-02-03 00:00:00.00;Фарм Комплект; Balkanpharma-Dypnica;БОЛГАРИЯ
Вильпрафен 0,5г №10 таб.п/о (джозамицин) ;3.0;491.66;593.4;2015-02-03 00:00:00.00;Фарм Комплект; Temmler;ГЕРМАНИЯ
Винпоцетин форте 0,01г №30 таб. ;6.0;70.32;87.2;2015-02-03 00:00:00.00;Фарм Комплект; ОЗОН ООО;РОССИЯ
Гептрал 400мг №20 таб. п/о ;3.0;1526.91;1741.8;2015-02-03 00:00:00.00;Фарм Комплект; Abbott;ИТАЛИЯ
Гриппферон 10мл капли ;10.0;217.68;265.5;2015-02-03 00:00:00.00;Фарм Комплект; Фирн М;РОССИЯ
Джес плюс №28 таб. п/о ;2.0;924.7;1072.6;2015-02-03 00:00:00.00;Фарм Комплект; Bayer Veimar;ГЕРМАНИЯ
Дивигель 0,1% 1г №28 пак. ;2.0;590.46;684.9;2015-02-03 00:00:00.00;Фарм Комплект; Orion;ФИНЛЯНДИЯ
Дикло-ф 0,1% 5мл гл.капли ;5.0;130.4;157.2;2015-02-03 00:00:00.00;Фарм Комплект; Sentiss Pharma PVT.LTD;ИНДИЯ
Диротон 20мг №28 таб. ;10.0;326.67;393.6;2015-02-03 00:00:00.00;Фарм Комплект; Gedeon Richter-РУС;РОССИЯ
Долгит 100г крем/туба ;4.0;210.03;252.0;2015-02-03 00:00:00.00;Фарм Комплект; Dolorgiet;ГЕРМАНИЯ
Жанин №63 драж. ;1.0;2096.33;2431.7;2015-02-03 00:00:00.00;Фарм Комплект; Bayer;ГЕРМАНИЯ
Зодак 10мг №10 таб. п/пл/о ;3.0;114.05;137.5;2015-02-03 00:00:00.00;Фарм Комплект; Zentiva;ЧЕШСКАЯ РЕСПУБЛИКА
Катадолон форте 400мг №14 таб. пролонг. д-я ;2.0;1185.95;1375.7;2015-02-03 00:00:00.00;Фарм Комплект; Teva;ПОЛЬША
Катадолон форте 400мг №7 таб. пролонг. д-я ;3.0;767.97;890.8;2015-02-03 00:00:00.00;Фарм Комплект; Teva;ПОЛЬША
Клайра №28 таб. п/о ;1.0;920.82;1068.1;2015-02-03 00:00:00.00;Фарм Комплект; Bayer Veimar;ГЕРМАНИЯ
Кларитин 10мг №10 таб. ;3.0;193.63;233.7;2015-02-03 00:00:00.00;Фарм Комплект; Schering Plough Labo N.V.;БЕЛЬГИЯ
Клималанин 400мг №30 таб. ;2.0;318.3;388.3;2015-02-03 00:00:00.00;Фарм Комплект; Bouchara Recordati;ФРАНЦИЯ
Кордарон 200мг №30 таб. ;5.0;268.11;323.7;2015-02-03 00:00:00.00;Фарм Комплект; Chinoin;ВЕНГРИЯ
Коронал 10мг №60 таб. п/пл/о ;3.0;270.65;327.1;2015-02-03 00:00:00.00;Фарм Комплект; Zentiva;СЛОВАКИЯ
Кофеина-бензоата натрия 0,1 №6 таб. ;20.0;25.97;36.3;2015-02-03 00:00:00.00;Фарм Комплект; Татхимфармпрепараты;РОССИЯ
Лизобакт  №30 таб. ;10.0;238.36;290.8;2015-02-03 00:00:00.00;Фарм Комплект; Bosnalijek;БОСНИЯ И ГЕРЦЕГОВИНА
Лозап 100мг №30 таб. п/пл/о ;5.0;274.74;332.1;2015-02-03 00:00:00.00;Фарм Комплект; Zentiva;СЛОВАКИЯ
Лозап плюс 50мг+12,5мг №90 таб. п/о ;6.0;722.66;838.2;2015-02-03 00:00:00.00;Фарм Комплект; Zentiva;ЧЕШСКАЯ РЕСПУБЛИКА
Мексидол 125мг №30 таб. п/о ;10.0;190.78;229.5;2015-02-03 00:00:00.00;Фарм Комплект; ЗиО Здоровье;РОССИЯ
Микоспор (мазь10г+пласт №15+скребок) набор д/лечения ногтей ;1.0;940.92;1091.4;2015-02-03 00:00:00.00;Фарм Комплект; Kern Pharma S.L.;ИСПАНИЯ
Но-шпа 40мг №100 таб. ;10.0;200.9;242.4;2015-02-03 00:00:00.00;Фарм Комплект; Chinoin;ВЕНГРИЯ
Перхотал шампунь 1% 60мл ;2.0;248.38;303.0;2015-02-03 00:00:00.00;Фарм Комплект; Gepach International;ИНДИЯ
Симбикорт турбухалер 160/4,5мкг/доза 120доз пор. д/инг. ;1.0;2422.86;2766.6;2015-02-03 00:00:00.00;Фарм Комплект; Astrazeneca/ЗиО-Здоровье;РОССИЯ
Симбикорт турбухалер 160/4,5мкг/доза 60 доз пор. д/инг. ;1.0;1291.65;1475.6;2015-02-03 00:00:00.00;Фарм Комплект; Astrazeneca/ЗиО-Здоровье;РОССИЯ
