Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
Облучатель ОУФк-01 "Солнышко";1.0;1846.0;2492.0;2015-02-27 00:00:00.00;ООО "М-Сервис";;
Гепасол Нео р-р д/инф 8% фл 500мл ;6.0;325.06;391.4;2015-02-19 00:00:00.00;ЗАО "РОСТА"; Hemofarm;Сербия
ПАНКРЕАТИН ТАБ. П/О 30ЕД №60 ЖВ ОА# ;20.0;38.06;47.1;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Россия;Фармпроект ЗАО
ТЕНЗОТРАН 0,0004 N14 ТАБЛ П/О ;3.0;274.56;327.7;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Перриго Израиль Фармасьютикалз Лтд.;израиль
Амбробене капс. ретард 75 мг №10# ;3.0;174.24;223.0;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Merckle GmbH для Ratiopharm GmbH;Германия
Амбробене 15мг/5мл сир. 100мл ЖВ#(амброксол) ;5.0;110.99;132.3;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Меркле ГмбХ;Германия
Ангиозил ретард табл. п/о 35 мг х60#(триметазидина дигидрохлорид) ;2.0;307.01;389.9;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Реплекфарм/Сотекс;Македония - Рос
АСКОРИЛ ЭКСПЕКТОРАНТ 100МЛ СИРОП#/САЛЬБУТАМОЛ+БРОМГЕКСИН/ ;3.0;207.13;268.2;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Гленмарк Фармасьютикалз Лтд;индия
Атаракс 25мг №25 тб. Бельгия ЖВ#(гидроксизин) ;2.0;279.18;334.6;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; ЮСБ Фарма СА Шемин дю Форе;Бельгия
Аторис таб. п.п.о 10мг №30 ЖВ#(аторвастатин) ;3.0;351.67;421.0;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Словения;КРКА
Аторис табл. п.п.о. 20мг N90 ЖВ#(аторвастатин) ;1.0;1036.42;1177.7;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; КРКА;Словения
Беталок зок таб.с зам. высвоб. п/о 50мг №30 ЖВ#(метопролол) ;1.0;256.41;306.8;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; АстраЗенека АБ / ЗиО-Здоров SE;Россия
Валерианы эк-т таб. п/о 0,02г №50# ;20.0;38.5;49.6;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Борисовский завод;Беларусь
Винпоцетин  таб.  5мг №50 ЖВ# ;5.0;41.14;52.9;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Борисовский завод медицинских препаратов ОАО;Беларусь
Ингавирин 90мг капс. №7 ЖВ ОА#(имидазолилэтанамид пентандиовой к-ты) ;2.0;409.97;493.0;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Валента Фармацевтика;Россия
ИНДАПАМИД РЕТАРД 0,0015 N30 ТАБЛ ПРОЛОНГ П/О ЖВ# ;5.0;36.19;46.6;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; ОЗОН;россия
Кавинтон таб. 5мг №50 ЖВ# (винпоцетин);5.0;206.14;247.0;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек";;
Кагоцел таб. 12мг# №10 ЖВ ОА ;5.0;195.91;239.8;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Ниармедик Плюс;Россия
Капотен 25мг №40 тб. ЖВ ОА#(каптоприл) ;5.0;169.51;205.0;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек";;
Кардиомагнил таб. п/о 150мг+30,39мг №30 ОА#(ацетилсалициловая к-та+магния гидроксид) ;5.0;117.59;152.8;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Nycomed Danmark;Дания
Кардиомагнил 150мг+30,39мг №100 ОА#(ацетилсалициловая к-та+магния гидрохлорид) ;5.0;266.86;341.5;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Дания;Никомед
Кардиомагнил таб. п/о плен. 75мг +15,2 мг №100# ;5.0;225.17;292.7;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Никомед ГмбХ/Такеда ГмбХ;Германия
Коделак Бронхо с чабрецом эликсир 100мл#(амброксол+натрия глицирризинат+тимьяна ползучего) ;5.0;118.47;154.0;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Фармстандарт-Лексредства;Россия
Конкор Кор таб. ппо 2,5мг N30 ЖВ# (Бисопролол) ;5.0;154.55;184.1;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Мерк;Германия
Конкор 10мг  таб. №30 ЖВ# (Бисопролол) ;2.0;301.95;359.7;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Мерк;Германия
Конкор 5мг  таб. №30 ЖВ# (Бисопролол) ;5.0;201.63;240.2;2015-02-04 00:00:00.00;ЗАО ЦВ "Протек"; Мерк;Германия
