Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
Л-тироксин 100 таб. 100мкг №100 ( МНН: Левотироксин натрия ) ;2.0;134.75;160.5;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Берлин-Хеми/Менарини Групп;Германия
Амбробене р-р 7,5мг/мл 100мл;1.0;163.02;194.2;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек";;
Амбробене сироп 15мг/5мл 100мл ( МНН: Амброксол ) ;2.0;110.22;131.5;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Ратиофарм-Меркле;Германия
Амлодипин-тева таб. 5мг №30 ;5.0;66.22;78.9;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Фармацевтический завод Тева Прайвэт Ко.Лтд;Венгрия
Анаферон взр. №20 таб. ;5.0;161.04;209.3;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Материа Медика Холдинг НПФ ООО;Россия
Анаферон детский таб. №20 ;5.0;159.61;215.4;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Материа Медика;Россия
Арбидол капс. 100мг №20 ( МНН: Умифеновир );2.0;393.03;473.0;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек";;
Аторвастатин таб. п/о плен. 10мг №30 ;2.0;240.35;292.9;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Канонфарма Продакшн;Россия
Бахилы клинса  одноразовые п/э №50 (пар) ;5.0;71.17;115.0;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; ООО Медсервис плюс RU;Россия
Берлиприл  5мг №30 тб. ( МНН: Эналаприл ) ;4.0;74.58;88.8;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Берлин-Хеми;Германия
Биопарокс аэр. д/инг. 400доз фл. 10мл ( МНН: Фузафунгин ) ;1.0;440.66;594.8;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Эгис Фармасьютикалс Лтд;Венгрия
Бифиформ капс N30 Дания ;2.0;371.69;483.1;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Ferrosan;Дания
Виферон-1 св. 150000МЕ №10 ( МНН: Интерферон альфа-2b ) ;1.0;206.14;248.1;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Ферон ООО;Россия
ГАСТАЛ N12 ТАБЛ Д/РАССАС ;2.0;118.8;154.4;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Тева Оперейшнс Поланд Сп.з.о.о.;Польша
Гексорал аэр.  0,2% фл. 40мл №1 ( МНН: Гексэтидин ) ;2.0;222.75;298.4;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Фамар Орлеан;Франция
Глидиаб МВ таб.30мг №60 ( МНН: Гликлазид ) ;1.0;146.08;176.1;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Акрихин ХФК;Россия
Глицин 0.1 №50 тб. ;20.0;26.29;32.7;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Биотики МНПК ООО;Россия
ГРАММИДИН НЕО С АНЕСТЕТИКОМ N18 ТАБЛ Д/РАССАС Россия ;2.0;175.67;237.1;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Валента Фармацевтика;Россия
Доктор Мом (фрукты) пастилки №20;2.0;85.36;115.2;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек";;
Доктор Мом паст.от кашля Ананас №20 ;2.0;85.03;114.7;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; UniqueFarm Lab;Индия
Доктор Мом паст.от кашля Лимон №20;5.0;83.82;113.1;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек";;
Доктор Мом паст.от кашля Малина №20;5.0;85.14;114.9;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек";;
Ингавирин 90 мг капс. №7 ;2.0;407.22;490.3;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Валента Фармацевтика;Россия
Ингалипт аэр. 30мл Алтай;3.0;84.92;114.6;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек";;
ИНДАПАМИД 0,0025 N30 ТАБЛ П/О ( МНН: Индапамид ) ;6.0;78.76;94.5;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Россия;ООО Хемофарм
ЙОДА 5% 25МЛ СПИРТ Р-Р ;30.0;10.12;15.0;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Обновление ПФК ЗАО;Россия
Кагоцел табл. 12мг N10 Россия ;10.0;194.59;238.5;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Ниармедик Плюс ООО;Россия
Кальцемин Адванс таб. п/о N30 ;1.0;299.86;389.8;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Sagmel Inc;США
Кальцемин Таб.п/о N120 ;1.0;482.9;618.1;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек";;
Кальцемин  №30 таб.;1.0;188.43;244.9;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек";;
Кардиомагнил форте 150мг  № 30 тб. п/о ( МНН: Ацетилсалициловая кислота+Магния гидроксид ) ;4.0;116.93;157.8;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек";;
Кардиомагнил 75мг таб. №100 ( МНН: Ацетилсалициловая кислота+Магния гидроксид ) ;4.0;232.32;306.6;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек";;
Конкор 2,5мг №30тб(МНН:Бисопролол). ;2.0;154.55;184.1;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Merk KGaA;Германия
Конкор 10 таб. №30 ( МНН: Бисопролол ) ;3.0;301.95;359.7;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Merk KGaA;Германия
Конкор 5 таб. №30 ( МНН: Бисопролол ) ;3.0;201.63;240.2;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Merk KGaA;Германия
КОНТЕЙНЕР Д/БИОПРОБ УНИВЕРСАЛЬНЫЙ 125МЛ/ИНД/УП ;30.0;14.63;20.0;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; ГЕМ ООО;Россия
КРЕОН 10000 N20 КАПС ( МНН: Панкреатин )Германия ;1.0;265.1;315.8;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Solvay Pharma;Германия
Лазолван р-р  д/п.вн.инг.15мг/2мл фл.100мл ( МНН: Амброксол ) ;1.0;354.64;425.0;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Boehringer Ingelheim;Италия
Лазолван сироп 30мг/5мл фл.100мл(МНН:Амброксол). Испания ;1.0;242.88;292.1;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек";;
Левомицетин гл. капли 0,25% 10мл ( МНН: Хлорамфеникол );10.0;20.35;27.4;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек";;
ЛИЗОБАКТ N30 ТАБЛ СУБЛ. ;2.0;262.13;340.7;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Босналек;Босния и Герцеговина
Лозап Плюс таб п/о  50мг+12,5мг №30(МНН:лозартан+гидрохлоротиазид).Чехия ;2.0;293.92;396.7;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Зентива;Чехия
Лозап табл. п/о 50мг N30 Словакия ( МНН: Лозартан ) ;2.0;265.54;317.3;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Zentiva A.C.;Словакия
Лориста Н таб. п\о плен. 50 мг+12,5 мг №30 ;2.0;203.06;274.1;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; КРКА д.д. Ново Место;Словения
Лориста 100мг Таб. п/о пленоч. Х30(МНН:Лозартан).;2.0;264.44;319.8;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек";;
ЛОРИСТА ТАБ П/О 25МГ №30 (МНН:Лозартан) KRKA. ;2.0;165.66;199.1;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; КРКА-РУС;Россия
Лориста таб п/о 50мг х 30 ( МНН: Лозартан ) ;2.0;171.05;206.1;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; КРКА-РУС ООО;Словения
ЛЮГОЛЬ 50МЛ СПРЕЙ Д/ГОРЛА ;2.0;88.44;105.3;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Лекарь;Россия
Магнелис B6 табл. п/о N50 Россия ;1.0;244.42;325.0;2015-02-09 00:00:00.00;ЗАО ЦВ "Протек"; Фармстандарт-Уфимский вит.з-д ОАО;Россия
