мЮХЛЕМНБЮМХЕ;йНК-БН;жЕМЮ ОНЯР;жЕМЮ ПНГМ;дЮРЮ;оНЯРЮБЫХЙ;оПНХГБНДХРЕКЭ;яРПЮМЮ
юрнпбюярюрхм 0,02 N30 рюак о/н;2.0;110.77;131.7;2015-02-02 08:31:27;йюрпем гюн;юкях тюплю гюн;пняяхъ
бепньохпнм рюа 25лц ╧20;2.0;72.05;80.0;2015-02-02 08:31:27;йюрпем гюн;GEDEON RICHTER;бемцпхъ
йюкхъ индхд рюа 200лйц ╧100;2.0;87.45;103.2;2015-02-02 08:31:27;йюрпем гюн;нанкемяйне то;пняяхъ
пюлхопхк-яг рюа 2.5лц ╧30;1.0;56.54;66.0;2015-02-02 08:31:27;йюрпем гюн;яебепмюъ гбегдю гюн;пняяхъ
щцхкнй рюа 50лц ╧60;1.0;124.41;142.4;2015-02-02 08:31:27;йюрпем гюн;щцхя тюплюжебрхвеяйхи гюбнд нюн;бемцпхъ
щцхкнй рюа 50лц ╧60;1.0;124.41;142.4;2015-02-02 08:31:27;йюрпем гюн;щцхя тюплюжебрхвеяйхи гюбнд нюн;бемцпхъ
юйпхдхкнк рюа 12,5лц ╧30;1.0;283.2;342.0;2015-02-02 13:14:53;яхю хмрепмеиьмк крд гюн;юйпхухм  утй нюн;пняяхъ
акетюпнцекэ 2 цекэ тк 15лк;1.0;151.44;206.0;2015-02-02 13:14:53;яхю хмрепмеиьмк крд гюн;цекэрей-ледхйю ннн;пняяхъ
днкцхр йпел 5% 50ц;2.0;132.165;157.0;2015-02-02 13:14:53;яхю хмрепмеиьмк крд гюн;днкнпцхр цлау х йн.йц;цеплюмхъ
днкцхр йпел дкъ мюп опхл 20ц;2.0;86.955;103.5;2015-02-02 13:14:53;яхю хмрепмеиьмк крд гюн;днкнпцхр цлау х йн.йц;цеплюмхъ
мнплнаюйр L яюье 3ц ╧10;2.0;266.89;387.0;2015-02-02 13:14:53;яхю хмрепмеиьмк крд гюн;онкэтюплю тюплюжебрхвеяйхи гюбнд;онкэью
яюкхжхкнбюъ люгэ д/мюпсф. опхл. 2% 25ц;5.0;21.032;26.0;2015-02-02 13:14:53;яхю хмрепмеиьмк крд гюн;рскэяйюъ тюплюжебрхвеяйюъ тюапхйю;пняяхъ
яемяндхм гсамюъ оюярю лцмнбеммши щттейр рсаю 50лк;1.0;123.73;179.5;2015-02-02 13:14:53;яхю хмрепмеиьмк крд гюн;SMITHKLINE BEEC о/т;бекхйнапхрюмхъ
вюи "йюмйспю" 80ц аюмйю;2.0;448.905;651.0;2015-02-02 13:14:53;яхю хмрепмеиьмк крд гюн;CANCURA INTERNATIONAL LTD;йхрюи
юЯЙНПСРХМ РЮА N50;2.0;23.52;33.0;2015-02-02 17:25:23;тюплоюпрмеп ннн тй;юкрюибхрюлхмш гюн;пняяхъ
бюкепхюмш мюярнийю 25лк тк;20.0;9.95;14.0;2015-02-02 17:25:23;тюплоюпрмеп ннн тй;хбюмнбяйюъ тюплтюапхйю нюн;пняяхъ
лерхкспюжхк ясоо пейр 500 лц ╧10;3.0;43.68;61.5;2015-02-02 17:25:23;тюплоюпрмеп ннн тй;ахняхмрег нюн;пняяхъ
мютрхгхм 0,1% йюокх мюгюк тк-йюо(окюяр) 15лк;50.0;23.52;33.0;2015-02-02 17:25:23;тюплоюпрмеп ннн тй;якюбъмяйюъ юорейю ннн;пняяхъ
;20.0;20.7;28.5;2015-02-02 17:25:23;тюплоюпрмеп ннн тй;;
щбйюкхорю мюярнийю 25лк;5.0;9.36;13.5;2015-02-02 17:25:23;тюплоюпрмеп ннн тй;лняйнбяйюъ т/т гюн;пняяхъ
юйбю люпхя яопеи мюг днгхп тк 30 лк я пюяошкхрекел ;4.0;206.28;281.0;2015-02-03 10:17:21;гдпюбяепбхя ннн;ъдпюм цюкемяйхи кюанпюрнпхи юн;унпбюрхъ
юйпхдепл йпел 0.05% 30ц;2.0;119.66;144.0;2015-02-03 10:17:21;гдпюбяепбхя ннн;юйпхухм  утй нюн;пняяхъ
юмрхцпхоохм ьхо. рюа д/бгп цпеиотпср ╧10;1.0;189.24;257.5;2015-02-03 10:17:21;гдпюбяепбхя ннн;NATUR PRODUCT;мхдепкюмдш
юмрхцпхоохм ьхо. рюа д/бгп цпеиотпср ╧10;1.0;189.24;257.5;2015-02-03 10:17:21;гдпюбяепбхя ннн;NATUR PRODUCT;мхдепкюмдш
дфея окчя рюа. о/о/н ╧28;1.0;1008.78;1281.5;2015-02-03 10:17:21;гдпюбяепбхя ннн;аюиеп;цеплюмхъ
кэмю яелемю 100ц;3.0;28.47;40.0;2015-02-03 10:17:21;гдпюбяепбхя ннн;тхрнтюпл мон ннн;пняяхъ
люякн фнфнаю 10лк йнялерхвеяйне;3.0;44.89;65.5;2015-02-03 10:17:21;гдпюбяепбхя ннн;мюрсп.люякю ннн;пняяхъ
накеохунбне люякн  100лк;3.0;35.38;51.5;2015-02-03 10:17:21;гдпюбяепбхя ннн;мюрсп.люякю ннн;пняяхъ
пегюкчр опн йюоя 300лц ╧100;1.0;1133.52;1440.0;2015-02-03 10:17:21;гдпюбяепбхя ннн;йюрюкемр цеплюмхъ ьнпмднпт цлау;цеплюмхъ
перхмнкю южерюр йюоя. 33000ле ╧10;30.0;4.2;5.0;2015-02-03 10:17:21;гдпюбяепбхя ннн;кчлх ннн;пняяхъ
ямсо яопеи 0,1% тк 15лк;5.0;102.38;121.5;2015-02-03 10:17:21;гдпюбяепбхя ннн;FAMAR S.A;хяоюмхъ
темуекъ окндш 50ц;3.0;22.25;31.5;2015-02-03 10:17:21;гдпюбяепбхя ннн;тхрнтюпл мон ннн;пняяхъ
ткнпеяюм ьюлосмэ пеоеимхй о/бшоюдемхъ бнкня 250лк (т-80);4.0;69.24;100.5;2015-02-03 10:17:21;гдпюбяепбхя ннн;ткнпеяюм ннн;пняяхъ
убныю онкебнцн рпюбю 50ц;2.0;24.47;34.5;2015-02-03 10:17:21;гдпюбяепбхя ннн;тхрнтюпл мон ннн;пняяхъ
;2.0;108.0;157.0;2015-02-03 10:17:30;тнпютюпл;;
;2.0;64.88;94.5;2015-02-03 10:17:30;тнпютюпл;;
;5.0;36.98;54.0;2015-02-03 10:17:37;тнпютюпл;;
