мЮХЛЕМНБЮМХЕ;йНК-БН;жЕМЮ ОНЯР;жЕМЮ ПНГМ;дЮРЮ;оНЯРЮБЫХЙ;оПНХГБНДХРЕКЭ;яРПЮМЮ
STOPPROBLEM княэнм яюкхжхкнбши д/всбяр йнфх 100лк;2.0;48.06;70.0;2015-02-01 08:10:10;йюрпем гюн;ял лхьекэ ннн;пняяхъ
юйбю люпхя яопеи мюг днгхп тк 30 лк я пюяошкхрекел ;4.0;209.99;286.0;2015-02-01 08:10:10;йюрпем гюн;ъдпюм цюкемяйхи кюанпюрнпхи юн;унпбюрхъ
юккнунк N50 рюак о/н;5.0;32.78;46.0;2015-02-01 08:10:10;йюрпем гюн;тюплярюмдюпр-рнляйухлтюпл нюн ц.рнляй;пняяхъ
юлопхкюм рюа 5лц ╧30;1.0;246.4;335.5;2015-02-01 08:10:10;йюрпем гюн;KRKA;якнбемхъ
юяохпхм C бхр я ьхо рюа. ╧10;2.0;156.86;213.5;2015-02-01 08:10:10;йюрпем гюн;аюиеп;цеплюмхъ
бюкг 0,08 N28 рюак о/н;2.0;223.85;304.5;2015-02-01 08:10:10;йюрпем гюн;юйрюбхя крд/аюкйюмтюплю-дсомхжю юд;анкцюпхъ
дхкрхюгел 90лц рюа. ╧30;1.0;111.32;151.5;2015-02-01 08:10:10;йюрпем гюн;юкйюкнхд юн;люйеднмхъ
йюкэжхи д3 мхйнлед тнпре рюа. фебюр кхлнм ╧30 ;1.0;263.89;359.0;2015-02-01 08:10:10;йюрпем гюн;мхйнлед тюплю юя;мнпбецхъ
йкеи ат-6 10ц;2.0;28.71;40.5;2015-02-01 08:10:10;йюрпем гюн;лспнляйхи опханпнярпнхрекэмши гюбнд тцсо;пняяхъ
кеяоетпхк п-п д/бм. опхелю тк. 100лк;2.0;147.62;201.0;2015-02-01 08:10:10;йюрпем гюн;бхтхреу гюн;пняяхъ
лхпюлхярхм п-п д/леярм. опхл. 0,01% тк. 150лк я пюяошкхрекел;2.0;244.86;333.5;2015-02-01 08:10:10;йюрпем гюн;хмтюлед ннн;пняяхъ
нрнтю сьмше йюокх тк-йюоекэмхжю 10лк ;2.0;166.65;200.0;2015-02-01 08:10:10;йюрпем гюн;LABORATOIRES BOUCHARA-RECORDATI;тпюмжхъ
охмнянк йюокх 10лк;5.0;101.53;138.5;2015-02-01 08:10:10;йюрпем гюн;SLOVAKOFARMA/ZENTIVA A.S.;веухъ
яанп спнкнцхвеяйхи тхрнметпнк т/о 2ц ╧20;3.0;53.13;72.5;2015-02-01 08:10:10;йюрпем гюн;йпюямнцнпяйкейяпедярбю нюн;пняяхъ
яхмейнд яхпно 1,5лц\лк тк 200лк ;2.0;256.08;348.5;2015-02-01 08:10:10;йюрпем гюн;NOVARTIS CONSUMER HEALTH S. CH;ьбеижюпхъ
рнкнймъмйх кхярэъ т/о 1,5ц ╧20;3.0;34.65;49.0;2015-02-01 08:10:10;йюрпем гюн;гднпнбэе тхплю гюн;пняяхъ
рпнлан юяя рюа о/о/н йхьевмнпюярб 100лц ╧28;10.0;46.64;57.5;2015-02-01 08:10:10;йюрпем гюн;кюммюуеп уюикэлхррекэ цлау;юбярпхъ
тюкхлхмр 25лц дпюфе ╧20;2.0;173.14;235.5;2015-02-01 08:10:10;йюрпем гюн;аепкхм-уелх юц/лемюпхмх цпсоо;цеплюмхъ
тсмдхгнк йпел дкъ мнцреи х йнфх 30лк;2.0;71.29;103.5;2015-02-01 08:10:10;йюрпем гюн;хмтюплю 2000 ннн;пняяхъ
юлапнаеме яхпно 15лц\5лк 100лк;2.0;111.21;132.5;2015-02-01 08:10:28;юкэъмя уекяйею пся ннн;лепйке цлау;цеплюмхъ
ахяюйндхк ясоо пейр 10лц ╧10;2.0;32.34;40.0;2015-02-01 08:10:28;юкэъмя уекяйею пся ннн;GLAXO WELLCOME POZNAN;онкэью
бемюпся рюа о/н 500лц ╧60;1.0;781.77;993.0;2015-02-01 08:10:28;юкэъмя уекяйею пся ннн;нанкемяйне то;пняяхъ
хасйкхм рюа. о/н 400лц+325лц ╧10;2.0;97.79;133.0;2015-02-01 08:10:28;юкэъмя уекяйею пся ннн;DR. REDDY"S;хмдхъ
мейяр рюа о/о/н 400лц+200лц N10;2.0;128.81;175.5;2015-02-01 08:10:28;юкэъмя уекяйею пся ннн;тюплярюмдюпр-рнляйухлтюпл нюн ц.рнляй;пняяхъ
мнбн-оюяяхр рюа. о/о/н 200лц ╧10;1.0;165.0;224.5;2015-02-01 08:10:28;юкэъмя уекяйею пся ннн;IVAX-CR A.S.;веухъ
оемрнбхр рюа. о/н ╧50;3.0;45.76;64.5;2015-02-01 08:10:28;юкэъмя уекяйею пся ннн;юкрюибхрюлхмш гюн;пняяхъ
пхцебхднм рюа о/н ╧21;2.0;188.65;257.0;2015-02-01 08:10:28;юкэъмя уекяйею пся ннн;GEDEON RICHTER;бемцпхъ
яедюкэцхм окчя рюа ╧10;2.0;103.95;141.5;2015-02-01 08:10:28;юкэъмя уекяйею пся ннн;аюкйюмтюплю-дсомхжю юд;анкцюпхъ
рпемрюк рюа опнкнмц деиярб о/о/н 400лц ╧20;2.0;413.93;563.0;2015-02-01 08:10:28;юкэъмя уекяйею пся ннн;AVENTIS PHARMA;хмдхъ
ухрнгюм дхер рюа 500лц ╧150;2.0;189.51;275.0;2015-02-01 08:10:28;юкэъмя уекяйею пся ннн;юкйни-ункдхмц ннн;пняяхъ
оюмйпеюрхм-кейр рюа йхьевмнпюярб. ╧60;15.0;40.69;50.0;2015-02-01 08:10:36;тюплоюпрмеп ннн тй;рчлемяйхи утг;пняяхъ
яанп цпсдмни ╧4 т/о 2ц ╧20;3.0;40.32;56.5;2015-02-01 08:10:36;тюплоюпрмеп ннн тй;тхрнтюпл мон ннн;пняяхъ
ярпеорнжхд онпньнй 2ц;5.0;33.6;47.5;2015-02-01 08:10:36;тюплоюпрмеп ннн тй;кчлх ннн;пняяхъ
рнйнтепнкю южерюр п-п 10% б люяке д/опхелю бмсрпэ 20лк;2.0;19.55;27.5;2015-02-01 08:10:36;тюплоюпрмеп ннн тй;яюлюпюледопнл нюн;пняяхъ
щмюл рюа 5лц ╧20;5.0;34.33;42.0;2015-02-01 08:10:36;тюплоюпрмеп ннн тй;DR. REDDY"S;хмдхъ
