мЮХЛЕМНБЮМХЕ;йНК-БН;жЕМЮ ОНЯР;жЕМЮ ПНГМ;дЮРЮ;оНЯРЮБЫХЙ;оПНХГБНДХРЕКЭ;яРПЮМЮ
югхрпнлхжхм  йюоя 500лц ╧3;6.0;74.91;89.0;2015-02-02 08:31:41;йюрпем гюн;опнхгбндярбн ледхйюлемрнб ннн;пняяхъ
мхярюрхм рюа. о/н окем 500000ед ╧20;1.0;23.43;27.0;2015-02-02 08:31:41;йюрпем гюн;ахняхмрег нюн;пняяхъ
репфхмюм бюц рюа ╧10;1.0;372.13;434.6;2015-02-02 08:31:41;йюрпем гюн;LABORATOIRES BOUCHARA-RECORDATI;тпюмжхъ
цксрнйяхл п-п д/хмзей 3% юло 2лк ╧5;1.0;1813.35;1905.8;2015-02-02 08:31:47;йюрпем гюн;тюплю бюл гюн;пняяхъ
мсрпхдпхмй йнлоюйр я охыеб бнкнймюлх йнте 125лк ╧4;2.0;558.84;652.6;2015-02-02 08:31:47;йюрпем гюн;мсрпхжхъ ;мхдепкюмдш
тнпрхйеп юоекэяхм-кхлнм ялеяэ дкъ щмрепюк 125лк ╧4;1.0;409.24;477.9;2015-02-02 08:31:47;йюрпем гюн;мсрпхжхъ ;мхдепкюмдш
янкоюдехм тюяр рюа пюяр  N8;2.0;141.0;141.0;2015-02-02 10:24:13;ннн "чцюм";FAMAR S.A;цпежхъ
юктюбхр ьйнкэмхй рюа ╧60;1.0;224.38;325.5;2015-02-02 13:14:46;яхю хмрепмеиьмк крд гюн;юйбхнм гюн;пняяхъ
юмрхцпхоохм онп. д/опхц  п-пю лед-кхлнм яюье ╧10;1.0;210.67;287.0;2015-02-02 13:14:46;яхю хмрепмеиьмк крд гюн;мюрсп опндсйр тюплю яо.г.н.н.;онкэью
юмрхцпхоохм-юмбх йюоя ╧20;3.0;92.147;125.5;2015-02-02 13:14:46;яхю хмрепмеиьмк крд гюн;гхн-гднпнбэе гюн;пняяхъ
юрюпюйя рюа о/н 25лц ╧25;2.0;275.055;330.0;2015-02-02 13:14:46;яхю хмрепмеиьмк крд гюн;UCB PHARMA S.P.A.;аекэцхъ
южж цпюмскш д/опхцнр. цнпъвецн мюохрйю 600лц ╧6;3.0;117.16;139.5;2015-02-02 13:14:46;яхю хмрепмеиьмк крд гюн;яюкчрюя тюплю цлау;цеплюмхъ
апнлцейяхм 4 аепкхм-уелх п-п д/опхелю бмсрпэ 4лц/5лк тк. 60лк;1.0;139.45;190.0;2015-02-02 13:14:46;яхю хмрепмеиьмк крд гюн;аепкхм-уелх юц;цеплюмхъ
де-мнк рюа. 120лц ╧56;1.0;509.62;607.5;2015-02-02 13:14:46;яхю хмрепмеиьмк крд гюн;ASTELLAS PHARMA EUROPE NL;аекэцхъ
йернпнк п-п б/б б/л 30лц/лк 1лк N10 юло р/яр;3.0;122.033;146.5;2015-02-02 13:14:46;яхю хмрепмеиьмк крд гюн;DR. REDDY"S;хмдхъ
йкхпбхм йпел 25ц (оърмю, ьпюлш мю йнфе);6.0;44.285;64.5;2015-02-02 13:14:46;яхю хмрепмеиьмк крд гюн;яхддуюч ючпбедхй пхяепв тнсмд;хмдхъ
йнпецю йпел д/тхйяюжхх гса. опнрегнб меирпюкэмши бйся 40ц;1.0;202.18;293.5;2015-02-02 13:14:46;яхю хмрепмеиьмк крд гюн;ярюттнпд лхккеп;хпкюмдхъ
мнплнаюйр L яюье 3ц ╧10;3.0;266.893;387.0;2015-02-02 13:14:46;яхю хмрепмеиьмк крд гюн;онкэтюплю тюплюжебрхвеяйхи гюбнд;онкэью
нйслерхк йюокх цкюгмше тк-йюоек 10лк;1.0;136.03;185.0;2015-02-02 13:14:46;яхю хмрепмеиьмк крд гюн;юкейяюмдпхъ ухлхйн-тюплюжебрхвеяйюъ йнлоюмхъ;ецхоер
ткелнйкюб янкчрюа рюа дхяоепц 875лц+125лц ╧14;1.0;505.0;601.5;2015-02-02 13:14:46;яхю хмрепмеиьмк крд гюн;ASTELLAS PHARMA EUROPE NL;мхдепкюмдш
