мЮХЛЕМНБЮМХЕ;йНК-БН;жЕМЮ ОНЯР;жЕМЮ ПНГМ;дЮРЮ;оНЯРЮБЫХЙ;оПНХГБНДХРЕКЭ;яРПЮМЮ
анмбхбю п-п б/б 3лц/3лк ьопхж-рчахй ╧1;2.0;5403.09;5404.0;2015-02-01 10:22:04;йюрпем гюн тхкхюк мой б ц. нпек;пнь дхюцмнярхй цлау;ьбеижюпхъ
спнкеяюм тк 25лк;1.0;202.5;203.0;2015-02-01 14:31:59;гсдхмю м.б. хо рскю;цюкхвтюпл юн;сйпюхмю
репюткч кхлнм онп б яюье ╧10;3.0;282.537;362.0;2015-02-03 10:26:50;яхю хмрепмеиьмк крд гюн ц. рскю;тюлюп;тпюмжхъ
жхйкнтепнм 150лц рюа о/н ╧20;1.0;297.52;359.6;2015-02-03 10:26:50;яхю хмрепмеиьмк крд гюн ц. рскю;онкхяюм мртт ннн;пняяхъ
юпрпнкюир цекэ нукюфдючые-янцпебючыхи рсаю 75лк;2.0;97.8;137.0;2015-02-01 14:33:07;йюрпем гюн тхкхюк мой б ц. нпек;юцпнбергюыхрю я.-о. мбж;пняяхъ
юяйнпахмнбюъ й-рю я яюу люкхмю рюа ╧10 йпсрйю ;30.0;6.18;9.0;2015-02-01 14:33:07;йюрпем гюн тхкхюк мой б ц. нпек;йбюдпюр-я ннн;пняяхъ
пшахи фхп я бхр е 50лк;5.0;30.71;43.0;2015-02-01 14:33:07;йюрпем гюн тхкхюк мой б ц. нпек;лхппю ннн;пняяхъ
янкндйнбнцн йнпмъ яхпно 100ц;14.0;17.6;25.0;2015-02-01 14:33:07;йюрпем гюн тхкхюк мой б ц. нпек;рюрухлтюплопеоюпюрш нюн;пняяхъ
жерхпхгхм цейяюк 10лц рюа о/н ╧10;4.0;54.89;68.25;2015-02-01 14:33:07;йюрпем гюн тхкхюк мой б ц. нпек;яюкчрюя тюплю цлау;цеплюмхъ
анъпшьмхйю мюярнийю 25лк;12.0;15.092;22.0;2015-02-03 10:28:38;яхю хмрепмеиьмк крд гюн ц. рскю;цхоонйпюр ннн;пняяхъ
дюмжхк йюокх цкюгмше х сьмше 0,3% тк/йюоек 5лк;1.0;144.6;172.3;2015-02-03 10:28:38;яхю хмрепмеиьмк крд гюн ц. рскю;опнлед щйяонпря обр.крд;хмдхъ
йкхмдюжхм 100лц ясоо бюц. ╧3;1.0;461.76;592.0;2015-02-03 10:28:38;яхю хмрепмеиьмк крд гюн ц. рскю;юйпхухм/тюплюопхл ннн;пняяхъ
йнтехмю-аемгнюр мюрпхъ 0.1ц рюа ╧6;5.0;26.236;37.0;2015-02-03 10:28:38;яхю хмрепмеиьмк крд гюн ц. рскю;рюрухлтюплопеоюпюрш нюн;пняяхъ
люкюбхр йпел-цекэ рсаю 75лк;1.0;157.32;221.0;2015-02-03 10:28:38;яхю хмрепмеиьмк крд гюн ц. рскю;юкэйнп;пняяхъ
люмхмхк 5 рюа 5лц ╧120;1.0;114.71;137.2;2015-02-03 10:28:38;яхю хмрепмеиьмк крд гюн ц. рскю;аепкхм-уелх/лемюпхмх цпсоо;цеплюмхъ
мхлеяскхд 100лц рюа ╧20;2.0;46.07;65.0;2015-02-03 10:28:38;яхю хмрепмеиьмк крд гюн ц. рскю;нгнм ннн;пняяхъ
мхрпнйянкхм 50лц рюа о/н ╧50;5.0;51.976;73.0;2015-02-03 10:28:38;яхю хмрепмеиьмк крд гюн ц. рскю;хпахряйхи утг нюн;пняяхъ
оюмюбхп 0,002% цекэ рсаю 3ц;1.0;130.31;167.0;2015-02-03 10:28:38;яхю хмрепмеиьмк крд гюн ц. рскю;гекемюъ дсапюбю гюн;пняяхъ
пнгсйюпд 10лц рюа о/н ╧30;1.0;520.4;667.0;2015-02-03 10:28:38;яхю хмрепмеиьмк крд гюн ц. рскю;гемрхбю;якнбемхъ
ясдмн ондйкюдмне онкхлепмне ^юбепяся^;1.0;286.04;367.0;2015-02-03 10:28:38;яхю хмрепмеиьмк крд гюн ц. рскю;юбепяся;пняяхъ
яскэтюяюкюгхм 500лц рюа о/н ╧50;1.0;250.98;299.05;2015-02-03 10:28:38;яхю хмрепмеиьмк крд гюн ц. рскю;йпйю;якнбемхъ
темюгеоюл 1лц рюа ╧50;5.0;92.39;110.75;2015-02-03 10:28:38;яхю хмрепмеиьмк крд гюн ц. рскю;бюкемрю тюплюжебрхйю нюн;пняяхъ
