мЮХЛЕМНБЮМХЕ;йНК-БН;жЕМЮ ОНЯР;жЕМЮ ПНГМ;дЮРЮ;оНЯРЮБЫХЙ;оПНХГБНДХРЕКЭ;яРПЮМЮ
юяйнпахмнбюъ й-рю дпюфе ╧200;5.0;15.9;19.75;2015-02-03 10:17:02;хпбхм 2 ннн;тюплярюмдюпр-стюбхрю нюн;пняяхъ
ютксахм йюокх бмсрпэ 20лк тк ;1.0;179.36;234.0;2015-02-03 10:17:02;хпбхм 2 ннн;пхуюпд ахрмеп;юбярпхъ
бхюцпю 100лц рюа о/н ╧1;1.0;746.41;971.0;2015-02-03 10:17:02;хпбхм 2 ннн;отюигеп;тпюмжхъ
бхюцпю 50лц рюа о/н ╧2;1.0;1182.41;1538.0;2015-02-03 10:17:02;хпбхм 2 ннн;отюигеп;тпюмжхъ
бхкэопютем 500лц рюа о/н ╧10;3.0;492.01;593.75;2015-02-03 10:17:02;хпбхм 2 ннн;YAMANOUCHI EUROPE B.V./YAMANOUCHI PHARMA S.P.A.;хрюкхъ
йнмйнп 5лц рюа о/н ╧30;3.0;195.17;233.75;2015-02-03 10:17:02;хпбхм 2 ннн;лепй йцюю;цеплюмхъ
кхпхйю 300лц йюоя ╧14;2.0;955.28;1090.5;2015-02-03 10:17:02;хпбхм 2 ннн;отюигеп;цеплюмхъ
лхкэцюллю юло 2лк ╧5 п-п б/л ;2.0;211.77;276.0;2015-02-03 10:17:02;хпбхм 2 ннн;WORWAG PHARMA;цеплюмхъ
мхйнперре 4лц фебюр. пегхмйю тпсйрнбюъ ╧30;1.0;298.43;388.0;2015-02-03 10:17:02;хпбхм 2 ннн;люймхк;ьбежхъ
оюпюжерюлнк 500лц рюа ╧10;16.0;4.0;5.1;2015-02-03 10:17:02;хпбхм 2 ннн;тюплярюмдюпр-кейяпедярбю нюн;пняяхъ
оюпюжерюлнк 500лц рюа ╧10;84.0;4.0;5.1;2015-02-03 10:17:02;хпбхм 2 ннн;тюплярюмдюпр-кейяпедярбю нюн;пняяхъ
пемч лоя пюярбнп д/йнмр.кхмг 120лк ;2.0;131.24;171.0;2015-02-03 10:17:02;хпбхм 2 ннн;BAUSCH & LOMB;хрюкхъ
