Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
L-тироксин 100 Берлин-Хеми тб 100мкг N100 ;3.0;134.67;160.4;2015-02-04 00:00:00.00;ООО "Здравсервис"; Б-Х-Менарини;ГЕР
Ацетилсалициловая кислота тб 500мг N10 ;50.0;2.85;3.5;2015-02-04 00:00:00.00;ООО "Здравсервис"; ИХФЗ;РОС
Вольтарен Акти тб п.п.о 12,5мг  №10 ;1.0;100.81;120.1;2015-02-04 00:00:00.00;ООО "Здравсервис"; Новартис Фармасьютика С. А.;ИСП
Зубная паста Лесной бальзам отвар шалф/алоэ 75мл ;3.0;50.4;65.0;2015-02-04 00:00:00.00;ООО "Здравсервис"; Концерн Калина ОАО;РОС
Маска 3-х слойная на резинке с фиксатором н/стер. ;100.0;1.08;1.3;2015-02-04 00:00:00.00;ООО "Здравсервис"; Казанская фабрика СпецМедЗащита;РОС
Прокладки Белла Нова софт с/к №10 ;9.0;39.22;50.0;2015-02-04 00:00:00.00;ООО "Здравсервис"; Белла ООО;РОС
Прокладки Белла Нова софт с/к №10 ;1.0;39.22;51.0;2015-02-04 00:00:00.00;ООО "Здравсервис"; Белла ООО;РОС
Прокладки Белла панти мини ежедн  №30 ;3.0;36.61;36.8;2015-02-04 00:00:00.00;ООО "Здравсервис"; Белла ООО;РОС
Синекод сироп ванильный 1,5мг/мл фл 100мл ;1.0;172.14;237.0;2015-02-04 00:00:00.00;ООО "Здравсервис"; Новартис Консьюмер Хелс СА;ШЦР
Теймурова  паста 30г туб. алюм. ;20.0;32.5;44.0;2015-02-04 00:00:00.00;ООО "Здравсервис"; Тульская Фармфабрика;РОС
Теопэк табл. пролонг 300мг №50 ;2.0;139.1;192.0;2015-02-04 00:00:00.00;ООО "Здравсервис"; Биннофарм;РОС
Фенистил Пенцивир крем 1% 2г ;1.0;190.51;260.0;2015-02-04 00:00:00.00;ООО "Здравсервис"; Новартис Фарма Продуксьон Гмбх;ГЕР
Чулок компрессионный выше колена разм №3 ;2.0;165.75;229.0;2015-02-04 00:00:00.00;ООО "Здравсервис"; ЛПП Фарм;РОС
Чулок компрессионный до колена разм №4 ;2.0;143.65;199.0;2015-02-04 00:00:00.00;ООО "Здравсервис"; ЛПП Фарм;РОС
АЕВИТ КАПС №10 ;10.0;30.35;43.0;2015-02-04 00:00:00.00;ООО "Фармпартнер"; ЛЮМИ ООО;РОССИЯ
АМЛОДИПИН-ПРАНА ТАБ 5МГ №30 ;10.0;9.28;11.4;2015-02-04 00:00:00.00;ООО "Фармпартнер"; ПРАНАФАРМ;РОССИЯ
АСКОРУТИН ТАБ №50 БЛИСТЕР ;8.0;23.1;33.0;2015-02-04 00:00:00.00;ООО "Фармпартнер"; АЛТАЙВИТАМИНЫ ЗАО;РОССИЯ
АСКОФЕН П ТАБ №10 ;10.0;17.05;24.0;2015-02-04 00:00:00.00;ООО "Фармпартнер"; ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА КУРСК;РОССИЯ
БОРО ПЛЮС КРЕМ ЗЕЛЕНЫЙ 25Г ;3.0;36.3;52.0;2015-02-04 00:00:00.00;ООО "Фармпартнер"; ЭМАМИ ЛИМИТЕД;ИНДИЯ
ГИДРОКОРТИЗОН МАЗЬ ГЛАЗН 0,5% 5Г ;3.0;26.82;34.9;2015-02-04 00:00:00.00;ООО "Фармпартнер"; СИНТЕЗ ОАО;РОССИЯ
ДЕ-НОЛ ТАБ 120МГ №56 ;1.0;493.5;497.8;2015-02-04 00:00:00.00;ООО "Фармпартнер"; АСТЕЛЛАС ФАРМА;НИДЕРЛАНДЫ
