Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
Арбидол 50мг Таб. покр. плен. об. Х10 (R) ;2.0;130.67;156.8;2015-02-02 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Фармстандарт-Томскхимфарм ОАО г.Томск;РОССИЯ
Снуп 0.05% спрей назальный 15мл Фл.п/э Х1 (R) ;2.0;126.77;151.0;2015-02-02 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Фамар Хелф Кейр Сервисез Мадрид С.А.У./ШТАДА Арцнаймиттель АГ;ИСПАНИЯ
Тропикамид 1% гл.капли 10мл Фл-кап. пласт. М (R) ;25.0;101.94;121.45;2015-02-02 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; К.О. Ромфарм Компани С.р.Л. (sc);РУМЫНИЯ
Феназепам 1мг Таб. Х50 (R) ;5.0;92.9;111.2;2015-02-02 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Валента Фармацевтика ОАО;РОССИЯ
Кальцемин Адванс Таб. п/о Х30 ;1.0;314.46;392.2;2015-02-02 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Сагмел Инк;СОЕДИНЕННЫЕ ШТАТЫ
Масло эфирное БЕРГАМОТ 10мл .@ ;3.0;66.6;85.0;2015-02-02 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Аспера;РОССИЯ
Масло эфирное ЧАЙНОЕ ДЕРЕВО 10мл .@ ;2.0;74.8;95.0;2015-02-02 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Аспера;РОССИЯ
Окувайт Лютеин Форте Таб. Х30 .@ ;1.0;534.67;670.0;2015-02-02 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Др.Герхард Манн;ГЕРМАНИЯ
Пантовигар капс. Х90 ;1.0;1648.92;1650.0;2015-02-02 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Мерц Фарма ГмбХ и Ко.КГаА;ГЕРМАНИЯ
Солпадеин Фаст Таб. растворимые Х12 ;2.0;128.54;160.3;2015-02-02 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Фамар С.А. (ГСКХ);ГРЕЦИЯ
Адреналин р-р д/инъек. 0.1 % амп. 1 мл х5 ;2.0;63.86;79.0;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Московский Эндокринный Завод;Россия
Алмагель А сусп. внутр. пр фл. 170 мл. (мерн. ложка) х1 ;2.0;169.13;213.1;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Balkanpharma Troya AD;Болгария
Амброксол-Врамед сироп 15 мг/5мг фл. 100 мл. (мерн. стакан) х1 ;1.0;71.5;85.1;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Sopharma/Vramed;Болгария
Амоксициллин табл. 500 мг х20 ;5.0;46.26;57.2;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Барнаульский з-д медпрепаратов;Россия
Арбидол табл. п/о плен 50 мг х20 ;1.0;239.68;285.5;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Фармстандарт Томск;Россия
Аторис табл. п/о плен 10 мг х30 ;1.0;345.04;414.4;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; KRKA;Словения
Афобазол табл. 10 мг х60 ;2.0;288.83;363.9;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Фармстандарт Лексредства Курск;Россия
Бетагистин табл. 24 мг уп.конт.яч-пач.карт х60 ;2.0;138.73;169.2;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Северная звезда ЗАО;Россия
Бисопролол табл. п/о плен 5 мг уп.конт.яч-пач.карт х50 ;2.0;33.56;41.5;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Северная звезда ЗАО;Россия
Бифиформ капс. киш.раст. х30 ;1.0;354.16;355.0;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Ferrosan;Дания
Бромгексин табл. 8 мг х20 ;10.0;17.91;22.5;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Акрихин;Россия
Валериана табл. п/о плен 200 мг х50 ;6.0;48.85;50.0;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Белмедпрепараты;Беларусь
Валидол табл. подъязычн. 60 мг х10 ;50.0;21.81;27.4;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Фармстандарт Лексредства Курск;Россия
Ватные палочки с ограничителем (40063) х40 ;5.0;36.89;50.0;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Мир Детства (Китай);Китай
Витамин В6 р-р 5 % амп. 1 мл. (пиридоксина г/хл) х10 ;5.0;21.74;26.9;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Дальхимфарм;Россия
Диабетон МВ табл. 60 мг х30 ;5.0;267.63;318.8;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Сердикс ООО;Россия
Диротон табл. 10 мг х56 ;1.0;393.82;469.2;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Gedeon Richter/Gedeon Richter ?Рус;Венгрия-Россия
Диротон табл. 5 мг х28 ;2.0;147.52;175.7;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Gedeon Richter;Венгрия
Диувер табл. 5 мг х20 ;1.0;223.1;281.1;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Pliva;Хорватия
Ингалипт аэроз. фл. 30 мл. х1 ;5.0;51.01;64.2;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Фармстандарт Лексредства Курск;Россия
Индапамид табл. п/о плен 2.5 мг х30 ;10.0;19.71;25.0;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Канонфарма продакшн;Россия
Калия перманганат пор. д/пр. р-ра фл. 5 г. х1 ;20.0;39.42;48.9;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Татхимфармпрепараты;Россия
Канефрон Н драже х60 ;4.0;341.72;430.5;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Bionorica;Германия
Карведилол табл. 25 мг х30 ;2.0;65.18;79.5;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Озон;Россия
Карнитон табл. х20 ;1.0;253.02;320.0;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Внешторг Фарма;
Квинакс капли глаз. 0.015 % фл/кап. пласт 15 мл. х1 ;4.0;328.71;414.1;2015-02-03 00:00:00.00; ООО ФК ПУЛЬС; Alcon-Couvreur;Бельгия
