Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
АНАПРИЛИН 0,04 N30 ТАБЛ ;3.0;5.39;6.67;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; Фармстандарт-Лексредства ОАО;Россия
БОРНАЯ К-ТА 10,0 ПОР ;20.0;34.21;42.0;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; Тульская фармацевтическая фабрика;Россия
ДИКЛОФЕНАК 0,025/МЛ 3МЛ N5 АМП Р-Р В/М ;1.0;46.09;57.15;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; Хемофарм А.Д.;Сербия
ДИКЛОФЕНАК 0,05 N20 ТАБЛ П/О ;1.0;34.43;42.67;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; Хемофарм;Россия
ДИКЛОФЕНАК 5% 50,0 ГЕЛЬ ;5.0;69.41;0.0;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; Синтез АКОМПиИ;Россия
ИНДОМЕТАЦИН 0,05 N6 СУПП РЕКТ ;2.0;22.33;0.0;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; республика;Молдова
ОБЛЕПИХОВОЕ МАСЛО 100МЛ ИНД/УП ;1.0;361.79;444.57;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; Алтайвитамины ЗАО;Россия
СУПРАСТИН 0,025 N20 ТАБЛ ;1.0;114.95;137.56;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; Эгис Фармацевтический завод ОАО;Венгрия
ЦЕРЕПРО 0,25/МЛ 4МЛ N5 АМП Р-Р В/В В/М ;2.0;427.02;515.22;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; Верофарм;Россия
LACALUT ЗУБНАЯ ПАСТА ACTIV 50МЛ ;2.0;103.55;149.02;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; Др. Тайсс Натурварен ГмбХ;Германия
НЕГА КРЕМ МАССАЖНЫЙ 75МЛ ;3.0;32.51;45.87;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; Аванта;Россия
РАСТОРОПШИ ПЯТНИСТОЙ ШРОТ СОЛНАТ 100,0 ;5.0;29.59;40.01;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; Натуральные масла;Россия
