мЮХЛЕМНБЮМХЕ;йНК-БН;жЕМЮ ОНЯР;жЕМЮ ПНГМ;дЮРЮ;оНЯРЮБЫХЙ;оПНХГБНДХРЕКЭ;яРПЮМЮ
аем-цеи йпел 50ц;1.0;199.55;265.96;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цкхжхм 100лц ра ╧50 ахнрхйх;20.0;25.03;31.52;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
онкхтеоюм 250ц;1.0;95.39;128.77;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
оепвюрйх ялнрпнбше кюрейя пюглеп L оюпю;7.0;7.2622;9.8;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мхлеяскхд 100лц ра ╧20;1.0;46.75;63.11;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
гек юо цекэ мефм д/слшб ьюктеи 270лк;1.0;104.19;134.88;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнкдпейя лед+кхлнм онп ╧5;1.0;124.41;165.99;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
лнкхлед опнйк лхдх ╧28;1.0;306.13;413.27;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йкюпхрхм ра ╧10;1.0;184.91;226.05;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кеийнокюяршпэ 2у500 чмх м/рйюм ням;1.0;18.48;24.94;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йюцнжек 12лц ра ╧10;6.0;193.05;237.03;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнпецю тхйя г/опнрег йпел 40лк меирп бйся;1.0;172.73;262.64;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йндекюй мен яхпно 100лк;1.0;116.49;154.21;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юйрнбецхм юло 2лк ╧5 мхйнлед;5.0;257.246;332.08;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мхцеоюм яб ╧10;1.0;152.89;208.87;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юлапнаеме 30лц ра ╧20;1.0;133.82;178.36;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юлнйяхйкюб 375лц ра ╧15;1.0;199.76;240.46;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йяхлекхм яопеи 0,1% 10лк;1.0;149.93;179.78;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юлнйяхжхккхм 250лц йюоя ╧16 ут;1.0;47.63;59.44;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юяйнпсрхм ра ╧50;1.0;24.97;31.51;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
меахбнкнк 5лц ра ╧28;1.0;250.8;338.58;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
дснбхр дп ╧40;1.0;81.95;109.58;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
южж 100 цпюм ╧20;1.0;104.4;126.02;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мспнтем 60лц яб дер ╧10;1.0;87.75;105.41;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мюоюкэвмхй;60.0;0.6072;0.76;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
аюпюкцхм ра ╧10;10.0;55.792;75.14;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кхмейя йюоя ╧16;1.0;268.25;373.02;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
рнмнлерп OMRON M2 Basic ярюмд люмф;1.0;1550.0;2014.99;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кнпюцейяюк 10лц ра ╧10;1.0;40.37;50.55;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яхкйнтхйя кеий-пэ рйюм 2у500;1.0;21.12;28.51;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
аеккюрюлхмюк ра ╧30 пежеор!!!;1.0;101.53;137.06;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
аемгхкаемгнюр люгэ 20% 30ц рюккхм;1.0;26.03;32.21;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
ахтхдслаюйрепхм яб ╧10;1.0;72.6;87.11;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
апюк ра ╧10;2.0;21.461;28.39;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
целюрнцемйю бхрюлхммюъ 40ц;1.0;9.77;14.16;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
целюрнцемйю йкюяяхвеяйюъ 40ц;1.0;9.44;13.68;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цеоюпхм люгэ 25ц;4.0;39.48;53.29;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цпекйю ╧1;1.0;81.37;109.84;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
дхйкнтемюй люгэ 1% 30ц юйпх;2.0;38.61;51.12;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
днйрнп лнл оюяр кхлнм ╧20;1.0;70.18;94.82;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
днйрнп лнл оюяр люкхмю ╧20;2.0;70.62;95.26;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
хлсднм ра ╧40;1.0;447.81;597.96;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
хмрептепнм 1000ле п-п 2лк юло ╧10;1.0;63.36;77.25;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йюбхмрнм тнпре 10лц ра ╧30;2.0;214.28;257.29;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йюкемдскю/мнцнрйх жберйх т/о ╧20;2.0;45.32;57.91;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йюкэжхи д3 мхйнлед ра ╧100 юоекэя;1.0;425.99;577.97;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йерюмнб 10лц ра ╧100;1.0;206.51;249.4;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йернмюк 100лц ра ╧20;1.0;172.65;208.16;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнмйнп 10лц ра ╧30;1.0;295.35;353.11;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнмйнп 5лц ра ╧30;1.0;197.34;235.93;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнмйнп 5лц ра ╧50;1.0;291.94;349.13;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
к-рхпнйяхм 100лйц ра ╧100;2.0;126.15;151.96;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кюгнкбюм 30лц ра ╧20;1.0;185.13;251.79;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кюгнкбюм п-п д/хмц-и 7,5лц/лк 100лк;1.0;330.06;401.48;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кебнлейнкэ люгэ 40ц;2.0;75.46;99.28;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кхмйюя яхпно 90лк;2.0;103.29;139.44;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
люцмхъ яскэтюр юло 10,0 ╧10;1.0;23.15;28.64;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
люкэрнтеп йюокх тк 30лк;1.0;240.86;287.85;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
лнбюкхя 15лц юло ╧3;1.0;486.2;659.5;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мюгхбхм 0,01% тк 5лк;1.0;122.1;162.9;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мюгхбхм яопеи 0,05% тк 10лк;1.0;128.15;167.75;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мен-юмцхм я яюу ра ╧24;1.0;86.47;116.73;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
накеохунбне люякн 50лк ъмрюпмне;1.0;163.02;213.77;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
нйянкхмнбюъ люгэ 0,25% 10ц;6.0;13.53;16.85;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
охпюжерюл 400лц йюоя ╧60 тюплопнейр;1.0;36.84;45.58;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
онкхдейяю я темхкетпхмнл яопеи 15лк тк;1.0;235.62;318.39;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
опегепбюрхбш CONTEX LIGHTS ╧3;1.0;84.43;114.24;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
пебюкцхм ра ╧20;1.0;63.25;84.23;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
пхмхйнкд ра ╧10;2.0;71.39;93.59;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
пшахи фхп ╧100 бюкепхюмю осяршпмхй ахнйнмр;2.0;29.43;39.1;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яюкэасрюлнк ющп 12лк лут;1.0;118.69;141.41;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яюмнпхм йюокх 0,1% 10лк;1.0;83.16;97.63;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яоюгцюм ра ╧10;10.0;21.439;28.42;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
ярпеояхкя лед+кхлнм ра ╧24;1.0;150.37;202.99;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
рюаейя ра ╧100;1.0;634.55;824.91;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
тксжхмюп цекэ 15ц;1.0;168.3;224.73;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
щмцхярнк ра ╧50;1.0;380.71;513.95;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
опегепбюрхбш CONTEX RIBBED ╧3;1.0;80.48;106.85;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мнбн-оюяяхр ра ╧30;1.0;372.57;491.61;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
гскю кеямюъ ъцндю оюйер 60ц;1.0;50.55;70.91;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кебнлхжерхм цк йюо 0,25% 10лк тк-йюо;5.0;19.47;26.28;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юпахднк 50лц ра ╧10;1.0;120.73;146.88;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
южж кнмц 600лц ьхо ра ╧10;2.0;268.62;362.83;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кюгнкбюм яхпно 30лц/5лк 100лк;3.0;226.82;276.08;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнпбюкнк 25лк тюпляр-р;9.0;9.63;13.0;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
меипнлхдхм 20лц ра ╧50;1.0;968.98;1271.13;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
опегепбюрхбш CONTEX CLASSIC ╧12;1.0;260.45;350.14;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнмйнп 2,5лц ра ╧30;1.0;152.24;181.82;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
тхгхнремг 0,4лц ра ╧14;1.0;375.87;451.82;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юлхцпемхм 50лц ра ╧2;1.0;167.2;225.71;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цекэ-ял CONTEX STRONG 100лк;1.0;285.1;390.63;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кеийнокюяршпэ аюйреп 2,5у7,2;25.0;1.54;1.99;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
опегепбюрхбш CONTEX LONG LOVE ╧12;1.0;287.1;388.5;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
пхмгюяхо онп 5ц ╧5 кхлнм;1.0;96.14;130.02;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
якегю мюрспюкэмюъ 15лк;1.0;251.19;339.1;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
янрюцейяюк 160лц ра ╧20;1.0;130.5;156.32;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
ткхйянмюге мюг яопеи 120днг;1.0;623.59;802.84;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яслюлед 100лц/5лк онп д/ясяо;1.0;185.13;223.57;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юккюохмхм 25лц ра ╧30;1.0;443.52;538.09;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
бюгнапюк ра ╧30;1.0;965.36;1254.96;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яхлбюцейяюк 10лц ра ╧30;1.0;247.75;299.08;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
ющпрюк 100лц ра ╧20;1.0;265.98;344.6;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
дхкрхюгел 90лц ра ╧20 кюммюуеп;2.0;100.05;135.06;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юлнйяхжхккхм 500лц ра ╧10;3.0;24.66;30.52;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йкчйбю яхпно 250лк а/яюу;1.0;71.38;98.15;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юлхцпемхм 100лц ра ╧2;1.0;268.62;362.63;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йпел деряйхи 46лк юбюмрю;1.0;18.03;26.14;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юдпхюмнк йюокх мюг тк йюо 10лк;1.0;82.13;109.19;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цкчйнтюф 0,85 ра ╧60;1.0;192.73;231.3;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
люплекюд тпс ледбедхй 30ц;1.0;23.34;33.84;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юкэйю-опхл ьхо ра ╧10;1.0;144.74;197.86;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цеоюрпхм 0,33ц йюоя ╧30;1.0;185.19;270.15;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
аюкэгюл "гнкнрюъ гбегдю" 4ц;5.0;60.83;81.83;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мн-ьою 40лц ра ╧60 днг-п;1.0;176.03;212.4;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юмрх-юмцхм ра ╧20;1.0;107.22;144.98;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
лхц 400лц ра ╧10;2.0;64.77;77.87;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
лхпюлхярхм 0,01% 150лк пюяо;2.0;296.12;381.01;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цебхяйнм лърю ясяо 150лк;1.0;165.29;223.67;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
темчкэя йюоя ╧30;1.0;122.65;163.62;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кхгхмнопхк 0,005 ра ╧30;1.0;14.84;18.37;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
гхкр 75лц ра ╧28;1.0;939.0;1078.37;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юлкндхохм 5лц ра ╧20 бепрейя;2.0;44.66;55.77;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яхкйнтхйя кеий-пэ онкхл 2у500;1.0;25.19;34.0;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
меахкер 5лц ра ╧28;1.0;775.72;998.22;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кхпхйю 75лц йюоя ╧14;1.0;557.04;670.47;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яхлбюярюрхм 10лц ра ╧30;1.0;44.99;59.92;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
реяр мю аепел EVITEST ╧1;1.0;51.15;69.05;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
опнярюлнк смн йюоя ╧60;1.0;1041.35;1353.75;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
ткюбюлед п-п 15лц/5лк 100лк;1.0;169.1;204.02;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
услскхм моу тк 100ед/лк 10лк;1.0;496.43;592.04;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
хмцюбхпхм 90лц йюоя ╧7;3.0;400.73;483.85;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
тспюлюц 50лц йюоя ╧30;1.0;547.69;739.38;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
ахдно 10лц ра ╧28;1.0;197.45;237.96;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
дхйкнтемюй люгэ 2% 30ц;2.0;11.66;14.81;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
аерюцхярхм 24лц ра ╧20;1.0;63.14;77.8;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
бхмонжерхм тнпре 10лц ра ╧30;2.0;75.94;91.79;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
реплнлерп жхтп OMRON Eco Temp (246);1.0;200.0;269.99;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
хмдюоюлхд перюпд 1,5лц ра ╧30 нгнм;11.0;20.41;25.34;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнпдхмнпл 10лц ра ╧30;1.0;156.09;189.18;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юмюкэцхм-скэрпю 500лц ра ╧10;1.0;49.39;65.83;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
аюйрепхнтюц хмреярх тк 20лк ╧4;1.0;684.75;883.4;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юпахднк 100лц йюоя ╧40;1.0;747.67;856.77;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнмреимеп я йпшь 100лк;10.0;9.02;10.86;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
детхякег цк йюо 3лц/лк тк 10лк;1.0;32.12;40.73;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юйбюкнп MINI тнпре яопеи д/мняю 50лк;1.0;194.19;262.15;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
лхдхюмю ра ╧21;1.0;583.55;758.61;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
репю-ткч кхлнм онп ╧10 щйярпю;1.0;275.66;368.74;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
рпхлерюгхдхм 20лц ра ╧30;1.0;24.09;32.52;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
лхкэцюллю 2лк юло ╧10;1.0;374.2;506.37;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнпбюкнк 50лк тюпляр-р;10.0;17.71;23.48;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
оюмюднк 500лц ра ╧12 пюярбнп;1.0;43.34;55.96;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яскэтюжхк-мюрпхи 20% 5лк яхмрег;1.0;75.46;92.78;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яхкйнтхйя кеий-пэ онкхл 5у500;2.0;51.59;69.64;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яноекйю окюяршпэ ╧10;1.0;274.89;381.1;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
днпгнор окчя цк йюокх 20лц/лк + 5лц/лк тк-й 5лк;1.0;536.73;715.38;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яедюкэцхм окчя ра ╧10;1.0;97.9;131.4;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цнпвхжюрпнм бюммш д/псй/мнц оюй ╧10;1.0;170.6;237.58;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
дхюдемр юйрхб нонк-кэ 250/275лк;1.0;77.22;104.91;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
янтэъ йпел/йнлокейя д/рекю унмдп цкчйнг 125лк;1.0;100.04;143.33;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
нлмхрся 20лц ра ╧10;1.0;155.85;215.52;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
реяр-онкняйх щкрю-яюреккхр окчя ╧25;1.0;180.41;235.7;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнмреимеп я йпшь 125лк яреп/хмд со;25.0;11.77;15.88;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юкх йюоя йюоя ╧4;1.0;495.8;726.49;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кхмйюя яхпно 120лк;1.0;119.35;166.79;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цебхяйнм 2-е деиярб ра феб ╧16 лърю;1.0;147.41;199.47;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
