Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
СЕДАЛ-М N20 ТАБЛ ;1.0;163.35;212.5;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; МИЛВЕ фармацевтические заводы АО/Софарма АО;Болгария
ГЛЮКОМЕТР АККУ-ЧЕК  PERFORMA NANO /НАБОР/ ;1.0;686.08;912.5;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Roche Diagnostics GmbH;США
Контекс набор презервативы classic (классические) №12 +гель-смазка wave (увлажняющий) ;1.0;287.32;408.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; ЛРС Продактс Лтд;Соединенное кор
Аджисепт таб д/рассас (лимон) N24 ;3.0;72.05;93.5;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Аджио Фармацевтикалз Лтд;Индия
Аевит 0.2 №10 капс.;20.0;27.61;36.5;2015-02-02 00:00:00.00;ЗАО НПК "Катрен";;
Азитромицин  капс. 500мг №3;3.0;74.25;91.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен";;
Аквалор софт ср-во д/промыв полости носа фл. 125мл (душ) ;1.0;307.45;421.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; YS LAB.;Франция
АКВАЛОР ФОРТЕ 125МЛ СПРЕЙ (ДУШ) ;1.0;310.42;425.5;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Aurena Laboratories AB;Франция
Акридерм мазь д/нар. прим. 0.05% туба 30г ;3.0;89.65;107.5;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Акрихин;Россия
Аллохол №50 тб.;10.0;39.27;51.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен";;
АМБРОБЕНЕ 0,0075/МЛ 40МЛ Р-Р Д/ВН. ПРИМ.;1.0;109.56;130.5;2015-02-02 00:00:00.00;ЗАО НПК "Катрен";;
Амиксин 0,125г №6 тб.;1.0;526.46;601.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен";;
Амлодипин табл 10мг N60 Россия ;2.0;72.71;88.5;2015-02-02 00:00:00.00;ЗАО НПК "Катрен";;
АМОКСИКЛАВ 0,25+0,0625/5МЛ 100МЛ ФЛАК ПОР Д/СУСП ;1.0;264.33;314.5;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Лек Д.Д.;словения
Амоксиклав 625мг №15 тб.;4.0;344.74;413.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен";;
Анальгин-Ультра 500мг Таб. п/о плен. Х10 ;1.0;53.79;70.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Оболенское ФП;РОССИЯ
Анаферон Детский таб.д/рассасывания  Х20 ;10.0;161.04;209.5;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Материа-Медика Холдинг НПФ ООО;РОССИЯ
АнвиМакс  лимон с медом пак. 5г N12  ;1.0;237.05;308.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; ФармВИЛАР НПО ООО;Россия
Аспирин c шип. таб. №10 ;1.0;165.77;215.5;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Байер Биттерфельд ГмбХ;Германия
АТЕРОКЛЕФИТ 100МЛ КАПЛИ;1.0;175.78;249.5;2015-02-02 00:00:00.00;ЗАО НПК "Катрен";;
АУГМЕНТИН 0,25/0,125 N20 ТАБЛ П/О ;1.0;242.55;289.5;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Смиткляйн Бичем Фармасьютикалз;великобритания
Аугментин 875мг/125мг Таб.п/о Х14 (R);2.0;349.91;416.5;2015-02-02 00:00:00.00;ЗАО НПК "Катрен";;
АЦИКЛОВИР 5% 10,0 МАЗЬ ;3.0;25.85;31.5;2015-02-02 00:00:00.00;ЗАО НПК "Катрен";;
Ацц Лонг 600мг Таб. Шипучие Х20 ;1.0;441.65;574.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Hexal Pharma Gmbh;Германия
Бактериофаг стаф. 100мл;1.0;751.19;961.5;2015-02-02 00:00:00.00;ЗАО НПК "Катрен";;
