Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
МЕТОКЛОПРАМИД 0,01 N50 ТАБЛ ;5.0;24.09;29.81;2015-02-01 00:00:00.00;ЗАО НПК "Катрен"; Польфарма Фармацевтический завод АО;Польша
ТЕГРЕТОЛ ЦР 0,4 N30 ТАБЛ РЕТАРД П/О ;2.0;275.22;327.92;2015-02-01 00:00:00.00;ЗАО НПК "Катрен"; Новартис Фарма С.п.А.;Италия
ТЕКСАМЕН 0,02 N10 ТАБЛ П/О ;3.0;228.47;268.0;2015-02-01 00:00:00.00;ЗАО НПК "Катрен"; Мустафа Невзат Илач Санаи А.Ш.;Турция
ТЕНТЕКС ФОРТЕ N100 ТАБЛ П/О ;2.0;654.61;745.0;2015-02-01 00:00:00.00;ЗАО НПК "Катрен"; Хималайя Драг Компани;Индия
ТРЕМОНОРМ N100 ТАБЛ ;1.0;624.14;709.34;2015-02-01 00:00:00.00;ЗАО НПК "Катрен"; Тева Фармацевтические Предприятия Лтд;Израиль
УНГА-БКП БАНДАЖ КОМП ТР-ЭЛАС П/ОПЕРАЦ УНИВN5/C 322 ;1.0;294.36;359.0;2015-02-01 00:00:00.00;ЗАО НПК "Катрен"; ТОНУС;Россия
ХОНДРОКСИД ФОРТЕ 30,0 КРЕМ ;1.0;319.77;392.0;2015-02-01 00:00:00.00;ЗАО НПК "Катрен"; Нижфарм ОАО;Россия
ВИТАМИШКИ MULTI+ N30 ЖЕВ  ПАСТИЛ ;2.0;332.53;419.0;2015-02-01 00:00:00.00;ЗАО НПК "Катрен"; Supplement Sciences inc.;СОЕДИНЕННЫЕ ШТАТЫ
Донна роза фольга д/запекания ФП014 ;3.0;49.54;62.0;2015-02-03 00:00:00.00;Бриз; ;
Чистюля зубочистки мятные 100шт ЗЧ001 ;2.0;15.67;20.0;2015-02-03 00:00:00.00;Бриз; ;
Чистюля зубочистки 300шт ЗЧ004 ;2.0;27.66;35.0;2015-02-03 00:00:00.00;Бриз; ;
Дракоша Шампунь 240мл Земляника ;3.0;59.78;75.0;2015-02-03 00:00:00.00;Бриз; ;
Крем Василек 42мл д/рук ;3.0;22.18;30.0;2015-02-03 00:00:00.00;Бриз; ;
Крем Каре 46мл д/рук Ромашка ;5.0;23.44;30.0;2015-02-03 00:00:00.00;Бриз; ;
