Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
Алмагель Нео сусп пак 10мл х 10 ;1.0;134.52;166.0;2015-02-02 00:00:00.00;ЗАО "РОСТА"; Balkanpharma-Troyan AD - Болгария;Болгария
Горчицатрон Детский пак-горчич х10 пират ;1.0;120.0;151.0;2015-02-02 00:00:00.00;ЗАО "РОСТА"; Весь мир ТД - Россия;Россия
Дюспаталин капс пролонг 200мг х 30 ;2.0;394.19;471.42;2015-02-02 00:00:00.00;ЗАО "РОСТА"; Abbott Healthcare SAS - Франция;Франция
Кардиомагнил таб п/о 150+30,39 мг х 100 ;10.0;263.4;321.0;2015-02-02 00:00:00.00;ЗАО "РОСТА"; Nycomed;Германия
Метотрексат-Эбеве таб 10мг х 50 ;2.0;472.06;564.48;2015-02-02 00:00:00.00;ЗАО "РОСТА"; Ebewe - Австрия;Австрия
БРОМГЕКСИН 0,008 N50 ТАБЛ ;20.0;10.23;13.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Обновление ПФК ЗАО;Россия
ВИФЕРОН 1000000МЕ N10 СУПП ;2.0;441.76;528.32;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; ФЕРОН ООО;Россия
ВИФЕРОН 500000МЕ N10 СУПП ;5.0;289.3;350.09;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; ФЕРОН ООО;Россия
ИНДАПАМИД 0,0025 N30 ТАБЛ П/О ;20.0;18.81;23.3;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; "Алси Фарма";Россия
КАНЕФРОН Н N60 ДРАЖЕ ;5.0;338.58;405.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Бионорика АГ;Германия
КОДЕЛАК БРОНХО N10 ТАБЛ ;4.0;102.74;125.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Фармстандарт-Лексредства ОАО;Россия
КОДЕЛАК БРОНХО N10 ТАБЛ ;6.0;102.74;125.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Фармстандарт-Лексредства ОАО;Россия
КОДЕЛАК БРОНХО С ЧАБРЕЦОМ 100МЛ ЭЛИКСИР ;10.0;125.73;154.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Фармстандарт-Лексредства ОАО;Россия
ЛОПЕДИУМ 0,002 N10 КАПС ;20.0;23.76;29.42;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Салютас Фарма ГмбХ;Германия
НАКЛОФЕН 0,075/3МЛ N5 АМП Р-Р В/М ;10.0;46.75;57.86;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; КРКА;Словения
СИНУПРЕТ N50 ДРАЖЕ ;1.0;251.13;251.2;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Бионорика АГ;Германия
ТЕЙМУРОВА ПАСТА 30,0 ;10.0;30.36;40.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; МУРОМСКИЙ ПРИБОРОСТРОИТЕЛЬНЫЙ З-Д;Россия
ТРАУМЕЛЬ С N50 ТАБЛ СУБЛИНГВАЛЬНЫЕ ;2.0;305.8;367.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Биологише Хайльмиттель Хеель ГмбХ;Германия
УТРОЖЕСТАН 0,1 N28 КАПС ;5.0;368.72;439.32;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; ОЛИК(Тайланд)Лимитед;Таиланд
ЧАЙНЫЙ НАПИТОК ФРУКТОВАЯ СКАЗКА 1,5 N20 Ф/П ;2.0;65.23;89.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Красногорсклексредства ОАО;Россия
CANPOL BABIES БУТЫЛОЧКА 120МЛ ;1.0;180.36;241.0;2015-02-02 00:00:00.00;ЗАО НПК "Катрен"; Canpol Sp.z.o.o. SKA;Польша
