мЮХЛЕМНБЮМХЕ;йНК-БН;жЕМЮ ОНЯР;жЕМЮ ПНГМ;дЮРЮ;оНЯРЮБЫХЙ;оПНХГБНДХРЕКЭ;яРПЮМЮ
юллхюй п-п мюпсф х хмц 10% 100лк тк;5.0;20.66;27.9;2015-02-02 04:54:07;тюплю;индмше реумнкнцхх х люпйерхмц ннн;пняяхъ
анпмни йхякнрш п-п яохпрнбни 3% 25лк тк;30.0;5.5;7.5;2015-02-02 04:54:07;тюплю;йюгюмяйюъ тюпл тюапхйю;пняяхъ
цеоюпхмнбюъ люгэ мюпсф 25ц;20.0;38.61;52.2;2015-02-02 04:54:07;тюплю;юкрюибхрюлхмш гюн;пняяхъ
йПСФЙЮ йСПМНЯХЙХ 200ЛК ЖБЕРМЮЪ Я ПСВЙНИ (ЮПР.17027);2.0;57.23;72.2;2015-02-02 04:54:07;тюплю;хбюмнбйю ннн;пняяхъ
кебнлхжерхм йюокх цкюгмше 0.25% 5лк;20.0;15.53;21.0;2015-02-02 04:54:07;тюплю;дхютюпл гюн;пняяхъ
люякн янямш 10лк щтхпмне хмд/союй;5.0;30.08;40.7;2015-02-02 04:54:07;тюплю;мюрспюкэмше люякю ннн;пняяхъ
лШКН йСПМНЯХЙХ 90Ц Я ЩЙЯРПЮЙРНЛ ВЕПЕДШ (ЮПР. 40410);3.0;14.16;19.2;2015-02-02 04:54:07;тюплю;ая. пс ннн;пняяхъ
мхярюрхмнбюъ люгэ мюпсф 100 ршя. ед/ц рсаю 15ц;5.0;27.05;36.6;2015-02-02 04:54:07;тюплю;ахнухлхй нюн;пняяхъ
релоюкцхм рюа о/н ╧100;1.0;299.88;377.9;2015-02-02 04:54:07;тюплю;SOPHARMA;анкцюпхъ
вюи янтнпю ъонмяйюъ окндш 100ц;5.0;46.63;63.0;2015-02-02 04:54:07;тюплю;янхй ннн;пняяхъ
вюи янтнпю ъонмяйюъ окндш 50ц;5.0;25.11;33.9;2015-02-02 04:54:07;тюплю;янхй ннн;пняяхъ
юллхюй п-п мюпсф х хмц 10% 40лк тк;10.0;14.85;20.1;2015-02-02 04:54:28;йюрпем гюн тхкхюк мой б ц. нпек;йелепнбяйюъ тюплтюапхйю нюн;пняяхъ
юохгюпрпнм люгэ 20ц;5.0;172.7;217.6;2015-02-02 04:54:28;йюрпем гюн тхкхюк мой б ц. нпек;щяоюплю цлау;цеплюмхъ
анпн окчя йпел гекемши рсаю 50ц;5.0;65.0;81.9;2015-02-02 04:54:28;йюрпем гюн тхкхюк мой б ц. нпек;щлюлх кхлхред;хмдхъ
хлсднм рюа д/пюяяюяшбюмхъ ╧24;1.0;355.74;448.3;2015-02-02 04:54:28;йюрпем гюн тхкхюк мой б ц. нпек;тюплярюмдюпр-рнляйухлтюпл нюн ц.рнляй;пняяхъ
кеямни аюкэгюл нонкюяйхбюрекэ дкъ д╗яем пнлюьйю/аепег янй 250лк;1.0;63.05;79.5;2015-02-02 04:54:28;йюрпем гюн тхкхюк мой б ц. нпек;йюкхмю йнмжепм нюн;пняяхъ
люякн гюпндшь оьемхжш йнялерхв 25лк хмд/со;2.0;54.15;68.3;2015-02-02 04:54:28;йюрпем гюн тхкхюк мой б ц. нпек;пюяюк/яхмюл ннн;пняяхъ
люякн йедпнбне щтхпмне 15лк хмд/со;2.0;45.68;61.7;2015-02-02 04:54:28;йюрпем гюн тхкхюк мой б ц. нпек;йнлоюмхъ яхмюл  ннн;пняяхъ
люякн накеохунбне цнпмнюкрюияйне 50лк хмд/союй;30.0;27.53;40.0;2015-02-02 04:54:28;йюрпем гюн тхкхюк мой б ц. нпек;юкрюияйхи асйер;пняяхъ
оюмремнк-яопеи яйнпюъ онлныэ о/нфнцюу 130ц юоревмши янчг;1.0;132.04;166.4;2015-02-02 04:54:28;йюрпем гюн тхкхюк мой б ц. нпек;ющпн-опн ннн;пняяхъ
охйнбхр яхпно 150лк;1.0;203.39;256.3;2015-02-02 04:54:28;йюрпем гюн тхкхюк мой б ц. нпек;йпйю;якнбемхъ
яюаекэмхй-щбюкюп вюи тхкэрп-оюйер 2ц ╧20;3.0;54.41;68.6;2015-02-02 04:54:28;йюрпем гюн тхкхюк мой б ц. нпек;щбюкюп гюн;пняяхъ
яхлбюярюрхм рюа о/н 10лц ╧30;5.0;53.35;68.2;2015-02-02 04:54:28;йюрпем гюн тхкхюк мой б ц. нпек;юкях тюплю гюн;пняяхъ
тхмкеояхм перюпд рюа опнкнмц 200лц ╧50;3.0;185.68;221.2;2015-02-02 04:54:28;йюрпем гюн тхкхюк мой б ц. нпек;ребю;онкэью
щмрепняцекэ оюярю бмсрпэ якюдйюъ рса 225ц;1.0;373.34;470.5;2015-02-02 04:54:28;йюрпем гюн тхкхюк мой б ц. нпек;яхклю рмй ннн;пняяхъ
чмхщмгхл я лоя рюа о/н ╧20;5.0;73.81;93.0;2015-02-02 04:54:28;йюрпем гюн тхкхюк мой б ц. нпек;чмхйел кюанпюрнпхг кхлхред;хмдхъ
юкнщ щйярпюйр фхдйхи 1лк п-п д/ондйнф.ббед. юло ╧10;1.0;116.39;146.7;2015-02-02 15:53:29;тюплоюпрмеп ннн тй;бхтхреу гюн;пняяхъ
йюпяхк тнпре 90лц йюоя ╧30;1.0;288.75;363.9;2015-02-02 15:53:29;тюплоюпрмеп ннн тй;янтюплю юн;анкцюпхъ
кноепюлхд йюоя 2лц ╧10;50.0;9.97;12.3;2015-02-02 15:53:29;тюплоюпрмеп ннн тй;опнхгбндярбн ледхйюлемрнб ннн;пняяхъ
люяйю йнккюцемнбюъ д/йнфх б/цкюг я ахнгнкнрнл (аекюъ) 8ц;1.0;11.0;16.0;2015-02-02 15:53:29;тюплоюпрмеп ннн тй;цсюмдфнс чщ яч щмрепопюиг;йхрюи
люяйю йнккюцемнбюъ д/йнфх б/цкюг я ахнгнкнрнл (гекемюъ) 8ц;1.0;11.0;16.0;2015-02-02 15:53:29;тюплоюпрмеп ннн тй;цсюмвфнс ахнспя ахняюемяхг йн крд;йхрюи
