Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
SCHOLL ПИЛКА ЭЛЕКТРИЧ РОЛИКОВАЯ /РОЗОВАЯ/+СМЕН РОЛИК N1 ;2.0;1616.85;1941.0;2015-02-04 00:00:00.00;ЗАО НПК "Катрен"; Рекитт Бенкизер Хелскэр (Великобритания) Лимитед;Китай
АМЕЛОТЕКС 0,01/МЛ 1,5МЛ N3 АМП Р-Р В/М ;5.0;292.49;356.9;2015-02-04 00:00:00.00;ЗАО НПК "Катрен"; ФармФирма Сотекс;Россия
АНТИСТЕН МВ 0,035 N60+60 ТАБЛ ПРОЛОНГ П/О ;10.0;519.97;634.4;2015-02-04 00:00:00.00;ЗАО НПК "Катрен"; ОЗОН;Россия
АФРИН 0,05% 15МЛ СПРЕЙ НАЗАЛ ;5.0;178.75;218.1;2015-02-04 00:00:00.00;ЗАО НПК "Катрен"; Контракт  Фармасьютикалс   Лимитед;Канада
ВИФЕРОН 500000МЕ N10 СУПП ;5.0;285.12;345.9;2015-02-04 00:00:00.00;ЗАО НПК "Катрен"; ФЕРОН ООО;Россия
Дицинон 250мг №100;1.0;348.15;416.1;2015-02-04 00:00:00.00;ЗАО НПК "Катрен";;
ЙОДА 5% 25МЛ СПИРТ Р-Р ;45.0;13.2;17.9;2015-02-04 00:00:00.00;ЗАО НПК "Катрен"; Обновление ПФК ЗАО;Россия
КЛОТРИМАЗОЛ-АКРИ 0,1 N6 ТАБЛ ВАГ ;5.0;26.07;31.8;2015-02-04 00:00:00.00;ЗАО НПК "Катрен"; Акрихин ХФК ОАО;Россия
НАТРИЯ ХЛОРИД 0,9% 200МЛ N28 БУТЫЛКА Р-Р Д/ИНФ ;1.0;608.85;691.9;2015-02-04 00:00:00.00;ЗАО НПК "Катрен"; Мосфарм;Россия
ТИМОЛОЛ-АКОС 0,5% 5МЛ ГЛ КАПЛИ ФЛАК/КАП ;3.0;20.9;25.7;2015-02-04 00:00:00.00;ЗАО НПК "Катрен"; Синтез АКОМПиИ;Россия
УНДЕВИТ N50 ДРАЖЕ ;10.0;37.51;50.7;2015-02-04 00:00:00.00;ЗАО НПК "Катрен"; Фармстандарт-Уфимский витаминный завод;Россия
Крем д/ног от трещин в ступнях 150,0;3.0;59.57;89.4;2015-02-04 00:00:00.00;ЗАО НПК "Катрен";;
МОЕ СОЛНЫШКО БАЛЬЗАМ Д/ГУБ 2,8 /АЛОЭ ВЕРА/ ;5.0;21.69;32.6;2015-02-04 00:00:00.00;ЗАО НПК "Катрен"; Аванта;Россия
ФУЛФЛЕКС КРЕМ ЭКСТР МАРТИНИИ ДУШИСТОЙ 75МЛ ;1.0;132.94;172.9;2015-02-04 00:00:00.00;ЗАО НПК "Катрен"; ВИС Косметикс;Россия
Аллопуринол табл. 100 мг х50 ;10.0;74.55;89.0;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС; Органика;Россия
Ацикловир мазь 5% 5г Нижфарм;20.0;9.34;11.3;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС;;
Бактериофаг Сальмонелезный групп ABCDE р-р фл. 100 мл. х1 ;1.0;606.64;703.8;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС; Микроген - ИмБио Нижегородское пред-ие;Россия
Гастрофарм табл. х18 ;5.0;130.05;158.7;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС; Biovet JSC;Болгария
Горец птичий трава пачка 50 г. (спорыш) х1 ;5.0;30.33;41.0;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС; Красногорск лек ср-ва;Россия
Индоколлир капли глаз. 0.1 % фл/кап 5 мл. х1 ;2.0;242.28;295.6;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС; Laboratoire Chauvin;Франция
Колдакт Флю Плюс капс. пролонг. действ х10 ;10.0;97.3;118.8;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС; Ranbaxy/Natco Pharma;Индия
Линкас Лор /мед-лимон/ пастилки х16 ;3.0;56.16;68.6;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС; Herbion Pakistan;Пакистан
Мильгамма композитум драже 100 мг х30 ;3.0;472.51;576.5;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС; Worwag Pharma/Mauermann-Arzneimittel;Германия
Мильгамма композитум драже 100 мг х60 ;2.0;883.05;1024.4;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС; Worwag Pharma/Mauermann-Arzneimittel;Германия
Нолипрел А форте табл. п/о плен 5 +1,25 мг фл. х30 ;3.0;650.29;754.4;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС; Servier/Servier Industrie-Сердикс;Франция/Франция
Омнитус сироп 0.8 мг/мл 200 мл. (мерная ложка) х1 ;5.0;133.8;163.3;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС; Hemofarm A.D.;Сербия
Полидекса  с фенилэфрином Спрей фл. 15 мл. х1 ;10.0;240.05;292.9;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС; Lab Bouchara-Recordati;Франция
Сиофор 1000 табл. п/о 1000 мг х60 ;5.0;385.3;465.9;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС; Berlin-Chemie AG/Menarini Group;Германия
Троксевазин гель наруж.пр. 2 % 40 г. х1 ;20.0;136.18;166.2;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС; Balkanpharma Troya AD;Болгария
Флуцинар мазь 0.025 % 15 г. х1 ;5.0;175.08;213.7;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС; Jelfa;Польша
Цефекон Д свечи д/детей 100 мг (3 мес.-3 лет) х10 ;5.0;36.45;45.0;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС; Нижфарм Оао;Россия
Эхинацея П табл. п/о 205 мг х100 ;3.0;71.02;92.4;2015-02-04 00:00:00.00;ООО ФК ПУЛЬС; Парафарм;Россия
Заказ №117198;1.0;0.0;530.5;2015-02-04 00:00:00.00;ЗАО НПК "Катрен";;
Брусники листья ф/п 2.0г N20 ;5.0;35.25;47.6;2015-02-04 00:00:00.00;ООО Надежда; ЛЕК С+ ООО;Россия
Геделикс капли 50мл ;1.0;194.79;237.7;2015-02-04 00:00:00.00;ООО Надежда; Кревель Мойзельбах ГмбХ;Германия
Домашние рецепты маска-крем д/волос 500мл шелковая ;1.0;147.38;192.0;2015-02-04 00:00:00.00;ООО Надежда; Первое решение ООО;Россия
Душицы трава .50г ;10.0;29.64;40.1;2015-02-04 00:00:00.00;ООО Надежда; Ленмедснаб ООО;Россия
Кукурузы столбики с рыльцами 50г ;6.0;32.59;44.1;2015-02-04 00:00:00.00;ООО Надежда; Фитофарм НПО ООО;Россия
Натрия тетраборат р-р 20% 30мл ;20.0;8.33;11.3;2015-02-04 00:00:00.00;ООО Надежда; Самарамедпром ОАО;Россия
Перекиси водорода р-р 3% 100мл (пластик) ;50.0;6.23;7.6;2015-02-04 00:00:00.00;ООО Надежда; Йодные технологии и маркетинг ООО;Россия
Подорожника листья 50г ;5.0;32.79;44.3;2015-02-04 00:00:00.00;ООО Надежда; Микроген НПО ФГУП/МЗ РФ Белореченск;Россия
Пустышка Мой малыш Вишенка латекс с 12-18м круглая (кольцо) (арт.11711) ;1.0;29.13;44.0;2015-02-04 00:00:00.00;ООО Надежда; Нюрнберг Гуми;Германия
Пустышка Мой малыш Вишенка латекс с 18+м круглая (кольцо) (арт.11712) ;1.0;29.83;45.0;2015-02-04 00:00:00.00;ООО Надежда; Нюрнберг Гуми;Германия
Пустышка Мой малыш Графика латекс с 6-12м симметричная  (кольцо светящееся) (арт ;1.0;47.13;71.0;2015-02-04 00:00:00.00;ООО Надежда; Нюрнберг Гуми;Германия
Пустышка Мой малыш Ночка латекс с 6-12м анатом (арт.11021) ;1.0;43.4;66.0;2015-02-04 00:00:00.00;ООО Надежда; Нюрнберг Гуми;Германия
Пустышка Мой малыш латекс с 6-12м анатом (кольцо светящееся) (арт.10921) ;1.0;47.49;72.0;2015-02-04 00:00:00.00;ООО Надежда; Нюрнберг Гуми;Германия
Чайный напиток Иван-чай узколистный (кипрей) 50г ;5.0;34.24;51.4;2015-02-04 00:00:00.00;ООО Надежда; Иван-чай ЗАО;Россия
