Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
Азафен таб 25мг х 250 ;2.0;639.27;728.0;2015-02-26 00:00:00.00;ЗАО "Роста"; Макиз Фарма - Россия;Россия
Вентолин Небулы р-р д/инг 2,5мг 2,5мл№20 ;1.0;258.16;308.4;2015-02-26 00:00:00.00;ЗАО "Роста"; Аспен Бад Олдесло;Германия
НЕЙРОМИДИН 20МГ ТБ №50;3.0;968.98;1245.0;2015-02-26 00:00:00.00;ЗАО "Роста";;
Омарон таб х 60 ;2.0;139.74;180.0;2015-02-26 00:00:00.00;ЗАО "Роста"; Нижфарм - Россия;Россия
Сульсен Форте шамп сульс п/перх 2% 150мл ;2.0;130.6;170.0;2015-02-26 00:00:00.00;ЗАО "Роста"; Мирролла - Россия;Россия
КАФФЕТИН N12 ТАБЛ ;3.0;96.58;125.0;2015-02-16 00:00:00.00;ЗАО НПК "Катрен"; Алкалоид АО;Республика Македония
NUTRILON-1 КИСЛОМОЛОЧНЫЙ СМЕСЬ МОЛОЧ СУХАЯ 400,0 ;2.0;417.12;474.9;2015-02-16 00:00:00.00;ЗАО НПК "Катрен"; Bledina;Франция
АЗИТРОМИЦИН 0,25 N6 КАПС ;5.0;30.91;47.8;2015-02-16 00:00:00.00;ЗАО НПК "Катрен"; ПРОИЗВОДСТВО МЕДИКАМЕНТОВ;Россия
ДЮФАЛАК СИРОП 200МЛ;3.0;266.64;319.7;2015-02-16 00:00:00.00;ЗАО НПК "Катрен";;
КАРБАМАЗЕПИН 0,2 N50 ТАБЛ ;30.0;40.37;49.9;2015-02-16 00:00:00.00;ЗАО НПК "Катрен"; "Алси Фарма";Россия
КОМПЛИВИТ ТБ №60;5.0;103.95;135.0;2015-02-16 00:00:00.00;ЗАО НПК "Катрен";;
МАСТОДИНОН ТБ №60;3.0;348.37;448.5;2015-02-16 00:00:00.00;ЗАО НПК "Катрен";;
САНОРИН КАПЛИ 0,05% 10МЛ;2.0;95.26;130.0;2015-02-16 00:00:00.00;ЗАО НПК "Катрен";;
СБОР Бруснивер 2,0  Ф/П №20 ;5.0;56.54;72.0;2015-02-16 00:00:00.00;ЗАО НПК "Катрен"; Красногорск лек ср-ва;Россия
Тригрим таб 5мг N30 ;5.0;199.76;260.0;2015-02-16 00:00:00.00;ЗАО НПК "Катрен"; Польфарма  Фармацевтический завод;Польша
ТРИФТАЗИН 5МГ ТБ №50;30.0;25.85;32.4;2015-02-16 00:00:00.00;ЗАО НПК "Катрен";;
ЦИКЛОМЕД 1% ГЛ КАПЛИ ФЛ 5МЛ;1.0;345.07;446.0;2015-02-16 00:00:00.00;ЗАО НПК "Катрен";;
ЦИСТОН ТБ №100;3.0;260.37;340.0;2015-02-16 00:00:00.00;ЗАО НПК "Катрен";;
911-ЗАЖИВИН СР-ВО ТРЕЩ ПЯТКИ 100МЛ;3.0;55.8;75.0;2015-02-16 00:00:00.00;ЗАО НПК "Катрен";;
АЛЕРАНА ШАМПУНЬ Д/ЖИР 200МЛ;1.0;246.99;325.0;2015-02-16 00:00:00.00;ЗАО НПК "Катрен";;
АСКОРБИНОВАЯ К-ТА С САХ + МАЛИНА ТБ №10;30.0;4.75;6.0;2015-02-16 00:00:00.00;ЗАО НПК "Катрен";;
ГЕМАТОГЕН РУССКИЙ /КОКОС+ШОКОЛ/40,0 ПЛИТКА ;24.0;10.56;15.0;2015-02-16 00:00:00.00;ЗАО НПК "Катрен"; Фарм-про ПК;Россия
КЛЕВЕРА ЛУГОВОГО ТРАВА ЛЕКРА-СЭТ 50,0 ;5.0;23.51;30.0;2015-02-16 00:00:00.00;ЗАО НПК "Катрен"; Лекра-Сэт;Россия
Микостоп крем-паста д/ногтей туба 20мл Россия ;3.0;173.4;218.5;2015-02-16 00:00:00.00;ЗАО НПК "Катрен"; Зеленая Дубрава ЗАО;Россия
ПИКОВИТ ЮНИК N27 ЖЕВ ТАБЛ ;1.0;228.73;295.0;2015-02-16 00:00:00.00;ЗАО НПК "Катрен"; КРКА;Словения
ЧАЙ ЛЕТЯЩАЯ ЛАСТОЧКА ЭКСТРА 3Г №20;2.0;161.87;205.0;2015-02-16 00:00:00.00;ЗАО НПК "Катрен";;
ЧАЙ ЭВАЛАР БИО ЛАКТОМАМА 1,5 N20 Ф/ПАК ;2.0;66.82;90.0;2015-02-16 00:00:00.00;ЗАО НПК "Катрен"; Эвалар ЗАО;Россия
АКРИДЕРМ ГК 15,0 МАЗЬ ;5.0;314.16;406.0;2015-02-17 00:00:00.00;ЗАО НПК "Катрен"; Акрихин ХФК ОАО;Россия
АЦЦ 100 ГРАНУЛЯТ №20;2.0;104.28;125.9;2015-02-17 00:00:00.00;ЗАО НПК "Катрен";;
БЕПАНТЕН КРЕМ 5% 30Г;2.0;280.5;367.5;2015-02-17 00:00:00.00;ЗАО НПК "Катрен";;
БЕРОДУАЛ Р-Р 20МЛ;5.0;242.0;292.6;2015-02-17 00:00:00.00;ЗАО НПК "Катрен";;
ГЛЮКОФАЖ ЛОНГ 0,75 N30 ТАБЛ ПРОЛОНГ ;1.0;270.38;329.7;2015-02-17 00:00:00.00;ЗАО НПК "Катрен"; Мерк Сантэ с.а.с.;Франция
ДОКТОР МОМ ПАСТ МАЛИНА №20;3.0;68.75;95.0;2015-02-17 00:00:00.00;ЗАО НПК "Катрен";;
ДОКТОР МОМ МАЗЬ 20Г;3.0;85.36;110.5;2015-02-17 00:00:00.00;ЗАО НПК "Катрен";;
ИРС-19 АЭР 20МЛ;2.0;357.06;465.0;2015-02-17 00:00:00.00;ЗАО НПК "Катрен";;
КАГОЦЕЛ 12МГ ТБ №10;10.0;185.57;229.5;2015-02-17 00:00:00.00;ЗАО НПК "Катрен";;
КЛАРИТРОМИЦИН 0,5 N14 ТАБЛ П/О ;2.0;266.75;325.6;2015-02-17 00:00:00.00;ЗАО НПК "Катрен"; Реплек Фарм ООО Скопье/Березовский фармацевтический завод;Россия
КЛАЦИД 0,125/5МЛ 42,3/60МЛ ПОР Д/СУСП ;1.0;311.85;376.1;2015-02-17 00:00:00.00;ЗАО НПК "Катрен"; Эбботт С.р.Л.;Италия
ЛАМИКТАЛ 0,1 N30 ТАБЛ ;2.0;1507.22;1937.7;2015-02-17 00:00:00.00;ЗАО НПК "Катрен"; ГлаксоСмитКляйн Фармасьютикалз С.А.;Польша
НАЗОЛ АДВАНС СПРЕЙ 0,05% 30МЛ;2.0;193.27;253.5;2015-02-17 00:00:00.00;ЗАО НПК "Катрен";;
НАЗОНЕКС 50МКГ/ДОЗА 60 ДОЗ НАЗ СПРЕЙ ;2.0;468.05;560.2;2015-02-17 00:00:00.00;ЗАО НПК "Катрен"; Шеринг-Плау Лабо Н.В.;Бельгия
