Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
АСПИРИН КАРДИО 0,1 N56 ТАБЛ П/О ;3.0;196.79;236.9;2015-02-02 00:00:00.00;ЗАО ЦВ "Протек" sst; Байер Биттерфельд ГмбХ;Германия
БАКТИСУБТИЛ N20 КАПС ;2.0;463.76;598.0;2015-02-02 00:00:00.00;ЗАО ЦВ "Протек" sst; Патеон Франс / упак.ФармФирма Сотекс;Россия
БЕРЛИПРИЛ 0,005 N30 ТАБЛ ;5.0;74.47;88.7;2015-02-02 00:00:00.00;ЗАО ЦВ "Протек" sst; Берлин-Хеми АГ;Германия
ДИКЛОРАН ПЛЮС 30,0 ГЕЛЬ ;3.0;120.23;159.0;2015-02-02 00:00:00.00;ЗАО ЦВ "Протек" sst; Юник Фармасьютикал Лабораториз(Отд.ф.Дж.Б.Кемикалс Фармасьютикалс Лтд);Индия
Дрожжи пивные с магнием + са + д3 таб. №100 ;2.0;75.19;100.0;2015-02-02 00:00:00.00;ЗАО ЦВ "Протек" sst; Экко плюс;Россия
ИНГАВИРИН 0,09 N7 КАПС ;5.0;426.03;509.0;2015-02-02 00:00:00.00;ЗАО ЦВ "Протек" sst; Валента Фармацевтика;Россия
Кетопрофен гель д/нар. прим. 2,5% туба 30г ;3.0;46.86;68.0;2015-02-02 00:00:00.00;ЗАО ЦВ "Протек" sst; Борисовский завод;Беларусь
Кеторол таб п/о 10мг n20 ;10.0;39.38;48.7;2015-02-02 00:00:00.00;ЗАО ЦВ "Протек" sst; Dr.Reddy's Laboratories;Индия
Левомеколь мазь  40г нижфарм ;10.0;79.86;106.0;2015-02-02 00:00:00.00;ЗАО ЦВ "Протек" sst; Нижфарм ОАО;Россия
Лошадиная сила бальзам-гель для тела фл. 500мл ;3.0;377.6;488.0;2015-02-02 00:00:00.00;ЗАО ЦВ "Протек" sst; Р.Косметик ООО/ ООО Зелдис;Россия
Ортофен таб. п/о 25мг №30 ;20.0;8.91;11.0;2015-02-02 00:00:00.00;ЗАО ЦВ "Протек" sst; Татхимфармпрепараты;Россия
СПЛАТ PROFESSIONAL ЗУБНАЯ ПАСТА ЛЕЧЕБ ТРАВЫ100МЛ ;5.0;75.98;102.0;2015-02-02 00:00:00.00;ЗАО ЦВ "Протек" sst; Органик Фармасьютикалз;Россия
ТОБРАДЕКС 5МЛ ГЛ КАПЛИ ;1.0;259.82;327.0;2015-02-02 00:00:00.00;ЗАО ЦВ "Протек" sst; с.а. Алкон-Куврер н.в.;Бельгия
ФЕНЮЛЬС N30 КАПС ;2.0;129.03;172.0;2015-02-02 00:00:00.00;ЗАО ЦВ "Протек" sst; Ранбакси Лабораториз Лимитед;Индия
