Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
Вода питьевая "Святой источник" 1,5л негаз.природная;6.0;24.29;31;2015-02-03;ИП Румянцев;;
Напиток б/а Эдельвейс Фреш" 0,5л клубника-мята;12.0;26.95;34;2015-02-03;ИП Румянцев;;
Напиток б/а Эдельвейс Фреш" 0,5л с соком грейпфрукта на основе мин.воды сильногаз.;12.0;26.95;34;2015-02-03;ИП Румянцев;;
Напиток б/а Эдельвейс Фреш" 0,5л с соком лимона и вкус.мяты на основе мин.воды сильногаз.;12.0;26.95;34;2015-02-03;ИП Румянцев;;
Напиток б/а Эдельвейс Фреш" 0,9л с соком грейпфрукта на основе мин.воды сильногаз.;12.0;38.2;48.5;2015-02-03;ИП Румянцев;;
Манжета Cuff LDA стандартный размер 25-36см ;1.0;378;476;2015-02-05;ООО "М-Сервис"; ;
Ингалятор LD-211C (желтый) ;1.0;2016;2540;2015-02-05;ООО "М-Сервис"; ;
Баллон 052 с клапаном 051 для тонометра ;2.0;98;123;2015-02-05;ООО "М-Сервис"; ;
Дет пит Нестле сух мол каша рис-яблоко 9х250г Биф ;1.0;116.07;131.15;2015-02-06;Воронеж-Фрахт; ООО "Нестле Россия";РОССИЯ
Дет пит Нестле сух мол каша рис-морк-абр 9х250г Биф ;1.0;116.07;131.15;2015-02-06;Воронеж-Фрахт; ООО "Нестле Россия";РОССИЯ
Дет пит НАН н.а.1 гипоалл. сух.смесь 12Х400г ;1.0;623.14;704.1;2015-02-06;Воронеж-Фрахт;;
Дет пит Гербер фр пюре яблоко 12х80г ;2.0;39.13;44.2;2015-02-06;Воронеж-Фрахт; "Nestle Polska S.A";ПОЛЬША
Дет пит Гербер фр пюре яблоко 16х90г ;1.0;43.32;48.95;2015-02-06;Воронеж-Фрахт; Nestle Espana S.A;ИСПАНИЯ
Дет пит Гербер фр пюре чернослив 12х80г ;2.0;39.13;44.2;2015-02-06;Воронеж-Фрахт; "Nestle Polska S.A";ПОЛЬША
Дет пит Гербер фр пюре 4 фрукта 16х90г ;1.0;43.32;48.95;2015-02-06;Воронеж-Фрахт; Nestle Espana S.A;ИСПАНИЯ
Дет пит Гербер фр пюре яблоко-банан 16х90г ;1.0;43.32;48.95;2015-02-06;Воронеж-Фрахт; Nestle Espana S.A;ИСПАНИЯ
Мин.вода "Заповедник Здоровья" газ.Ессентукис№4ст. винт.0,5л ;20.0;24.64;31;2015-02-06;ИП Борисов;;
ВОДА ПИТЬЕВАЯ КОЗЕЛЬСКАЯ /5Л/;4.0;36.89;37;2015-02-06;ИП Борисов;;
Мин.вода Заповедник Здоровья газ Ессентуки-4 ПЭТ 1,5л;24.0;27.32;34.5;2015-02-06;ИП Борисов;;
ВОДА ПИТЬЕВАЯ " КОЗЕЛЬСКАЯ" /1,5Л/;6.0;20.41;26;2015-02-06;ИП Борисов;;
Газ.вода "Аква Лайт" Лимонад 1,5л;6.0;19.06;24;2015-02-06;ИП Борисов;;
Пакет с ручками;50.0;4.5;6;2015-02-09;_Остатки;;
Памперс Мини 27 3-6кг 2 ;3.0;269.75;340;2015-02-10;ООО Бриз; ;Польша
Памперс Премиум Мини 32 3-6кг 2 ;1.0;413.61;520;2015-02-10;ООО Бриз; ;Польша
Памперс Слип&Плэй Юниор 42 11-25 5 ;1.0;544.94;672;2015-02-10;ООО Бриз; ;
Памперс Юниор 16 11-25кг 5 ;2.0;321.94;399.5;2015-02-10;ООО Бриз; ;
смс Ариэль  15кг авт.АЛЬФА ;2.0;908.63;909;2015-02-10;ООО Бриз; ;
Медиа Зодиак ж/м 5л прозр.Землян. ;1.0;101.44;130;2015-02-10;ООО Бриз; ;
Медиа Зодиак ж/м 5л прозр.Роза ;1.0;101.44;130;2015-02-10;ООО Бриз; ;
Медиа Зодиак ж/м 5л прозр.Яблоко ;1.0;101.44;130;2015-02-10;ООО Бриз; ;
НК Ушастый нянь влаж.туал.бум.20шт;2.0;31.82;40;2015-02-10;ООО Бриз;;
МИН.ВОДА РЕЦЕПТ №4 "ЕССЕНТУКИ" СТ. 0,5 Л 1*120;20.0;25.79;32.5;2015-02-13;ИП Борисов;;
Газ.вода "Аква Лайт" Лимонад 1,5л;6.0;19.06;24;2015-02-13;ИП Борисов;;
Газ.вода "Аква Лайт" Дюшес 0,5л;12.0;14.06;18;2015-02-13;ИП Борисов;;
Мин.вода"Доктор Вассер"Ессентуки-2 1,5л ПЭТ ;6.0;28.04;35.5;2015-02-13;ИП Борисов;;
МИН.ВОДА РЕЦЕПТ №4 "ЕССЕНТУКИ" ПЭТ 1,5Л;12.0;27.53;35;2015-02-13;ИП Борисов;;
