Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
Аура Солнце и Луна Влажные салфетки д/детей №15 ;18.0;22.2;28.0;2015-02-03 00:00:00.00;"ФораФарм Лоджик" ООО; Коттон Клаб;
Гематогенка Витаминная 40г (БАД) ;30.0;8.05;11.0;2015-02-03 00:00:00.00;"ФораФарм Лоджик" ООО; РуссАль ООО;
Еврон Софт ультра простыни впит.60*90 №28 (ИМН) ;1.0;702.19;885.0;2015-02-03 00:00:00.00;"ФораФарм Лоджик" ООО; Онтекс;
Еврон Софт экстра простыни впит.40*60 №30 (962621052) (ИМН) ;2.0;280.62;354.0;2015-02-03 00:00:00.00;"ФораФарм Лоджик" ООО; Онтекс;
Еврон Софт экстра простыни впит.60*90 №10 (96292980) (ИМН) ;3.0;325.42;411.0;2015-02-03 00:00:00.00;"ФораФарм Лоджик" ООО; Онтекс;
Живокост (пчелиный яд) бальзам для тела 75мл ;3.0;71.4;90.0;2015-02-03 00:00:00.00;"ФораФарм Лоджик" ООО; КоролёвФарм;
Интекс бинт эл.компр. Лайт СР 3м*10см с застеж.(ИМН) ;2.0;84.24;107.0;2015-02-03 00:00:00.00;"ФораФарм Лоджик" ООО; Интертекстиль;
Интекс Бинт эластичный компр. Лайт СР 5м*8см с застеж.(ИМН) ;4.0;123.61;156.0;2015-02-03 00:00:00.00;"ФораФарм Лоджик" ООО; Интертекстиль;
Интекс Бинт эластичный компр. СР 1,5м*8см с застеж.(ИМН) ;2.0;92.75;117.0;2015-02-03 00:00:00.00;"ФораФарм Лоджик" ООО; Интертекстиль;
Масло льняное с селеном 250мл (БАД) ;4.0;97.85;124.0;2015-02-03 00:00:00.00;"ФораФарм Лоджик" ООО; Биокор;РОССИЯ
Муравьиный мед гель-бальзам д/ног с хондролоном 70г ;3.0;65.63;83.0;2015-02-03 00:00:00.00;"ФораФарм Лоджик" ООО; Шустер Фармасьютикл;
Протефикс очиститель активный д/зуб.протезов №32таб ;1.0;158.68;200.0;2015-02-03 00:00:00.00;"ФораФарм Лоджик" ООО; Квайссер Фарма Гмбх;ГЕРМАНИЯ
Скорая Помощь бальзам для ран 35мл ;5.0;69.36;88.0;2015-02-03 00:00:00.00;"ФораФарм Лоджик" ООО; КоролёвФарм;
Сплат Ультракомплекс зубная паста 100мл ;2.0;78.74;100.0;2015-02-03 00:00:00.00;"ФораФарм Лоджик" ООО; Органик Фармасьютикалз;
Стальник полевой (корень) 50г (БАД) ;2.0;65.39;83.0;2015-02-03 00:00:00.00;"ФораФарм Лоджик" ООО; Хорст;
Аир корневища 50г ;3.0;26.26;34.0;2015-02-03 00:00:00.00;"Здравсервис" ООО; Фитофарм ПКФ ООО;РОС
Арбидол табл.п.п.о.50мг (уп.конт.яч.) №20 ;2.0;230.57;276.4;2015-02-03 00:00:00.00;"Здравсервис" ООО; Фармстандарт-Томскхимфарм;РОС
