Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
Белогент крем 30 г. х1 ;1.0;281.2;337.5;2015-02-02 00:00:00.00;"Пульс" ООО ФК; Belupo;Хорватия
Проскар табл. п/о плен 5 мг х14 ;1.0;363.43;426.7;2015-02-02 00:00:00.00;"Пульс" ООО ФК; Merck Sharp & Dohme;Нидерланды
Силует табл. п/о плен 2 мг+0.03 мг х63 ;1.0;1289.15;1495.5;2015-02-02 00:00:00.00;"Пульс" ООО ФК; Gedeon Richter;Венгрия
БЕЛОСАЛИК ЛОСЬОН 20МЛ ФЛАК Р-Р Д/НАРУЖ/С РАСПЫЛ ;1.0;313.83;376.6;2015-02-02 00:00:00.00;"Катрен" ЗАО НПК; Белупо;Хорватия
БИОЛ 0,005 N30 ТАБЛ П/О ;3.0;146.96;173.7;2015-02-02 00:00:00.00;"Катрен" ЗАО НПК; Салютас Фарма ГмбХ;Германия
ГАСТАЛ N30 ТАБЛ Д/РАССАС ;5.0;169.07;202.9;2015-02-02 00:00:00.00;"Катрен" ЗАО НПК; Тева Оперейшнс Поланд Сп.з.о.о.;Польша
ДОКТОР ТАЙСС МУЛЬТИВИТАМОЛ 200МЛ ФЛАК Р-Р ;2.0;184.8;221.8;2015-02-02 00:00:00.00;"Катрен" ЗАО НПК; Др. Тайсс Натурварен ГмбХ;Германия
ИММУНАЛ 50МЛ ФЛАК Р-Р ;2.0;204.16;245.0;2015-02-02 00:00:00.00;"Катрен" ЗАО НПК; Лек Д.Д.;Словения
КОРВАЛОЛ 25МЛ КАПЛИ ИНД/УП ;120.0;9.57;13.0;2015-02-02 00:00:00.00;"Катрен" ЗАО НПК; Фармстандарт-Лексредства ОАО;Россия
ЛАТРАН 0,004 N10 ТАБЛ П/О ;2.0;315.92;370.9;2015-02-02 00:00:00.00;"Катрен" ЗАО НПК; ФГУП НПЦ Фармзащита ФМБА;Россия
НАКЛОФЕН ДУО 0,075 N20 КАПС С МОДИФ ВЫСВОБ ;2.0;105.38;123.7;2015-02-02 00:00:00.00;"Катрен" ЗАО НПК; КРКА;Словения
РЕННИ Б/САХАРА N24 ЖЕВ ТАБЛ /МЯТА/ ;3.0;172.26;206.8;2015-02-02 00:00:00.00;"Катрен" ЗАО НПК; Байер Санте Фамильяль;Франция
ТАФЕН НАЗАЛЬ 50МКГ/ДОЗА 200ДОЗ СПРЕЙ НАЗАЛЬНЫЙ ;3.0;333.85;394.6;2015-02-02 00:00:00.00;"Катрен" ЗАО НПК; Лек Д.Д.;Словения
ТРИМЕТАЗИДИН-ТЕВА 0,02 N60 ТАБЛ П/О ;3.0;184.36;221.3;2015-02-02 00:00:00.00;"Катрен" ЗАО НПК; Меркле ГмбХ;Германия
ЦИНОКАП 0,2% 25,0 КРЕМ ;1.0;267.3;320.8;2015-02-02 00:00:00.00;"Катрен" ЗАО НПК; Фармстандарт-Томскхимфарм;Россия
ЧАСЫ ПЕСОЧНЫЕ ПРОЦЕДУРНЫЕ 10МИН ;2.0;112.64;135.2;2015-02-02 00:00:00.00;"Катрен" ЗАО НПК; МедСтЭк ООО;Россия
СБОР ГРУДНОЙ N3 пачка 50г Фирма Здоровье ;5.0;31.1;42.0;2015-02-02 00:00:00.00;"Авеста Фармацевтика" ООО; Фирма Здоровье ЗАО;РОССИЯ
СМЕКТА пор д/сусп д/пр внутрь 3г N10 апельсин ;5.0;103.41;127.5;2015-02-02 00:00:00.00;"Авеста Фармацевтика" ООО; Beaufour Ipsen Industry;ФРАНЦИЯ
СМЕКТА пор д/сусп д/пр внутрь 3г N10 ваниль ;5.0;103.41;126.9;2015-02-02 00:00:00.00;"Авеста Фармацевтика" ООО; Beaufour Ipsen Industry;ФРАНЦИЯ
ШИПОВНИКА ПЛОДЫ ф/пак 1,5г N20 Фирма Здоровье ;6.0;27.79;37.6;2015-02-02 00:00:00.00;"Авеста Фармацевтика" ООО; Фирма Здоровье ЗАО;РОССИЯ
Алфлутоп 2мл р-р д/ин. Амп. Х5 Б ;4.0;1684.09;1953.6;2015-02-02 00:00:00.00;"СИА Интернейшнл" ЗАО; К.О. Ромфарм Компани С.р.Л./К.О. Биотехнос С.А.;РУМЫНИЯ
Аторис 10мг Таб. п/пл/об. Х30 (R) ;3.0;337.01;400.1;2015-02-02 00:00:00.00;"СИА Интернейшнл" ЗАО; КРКА;СЛОВЕНИЯ
Беталок Зок 50мг Таб. с замедл. высв. п/о Х30 (R) ;1.0;262.33;308.1;2015-02-02 00:00:00.00;"СИА Интернейшнл" ЗАО; АстраЗенека АБ/ЗиО-Здоровье ЗАО;РОССИЯ
Дексалгин 25мг/мл р-р для в/в и в/м введ. 2мл Амп. Х5 Б ;4.0;360.65;432.8;2015-02-02 00:00:00.00;"СИА Интернейшнл" ЗАО; Берлин-Хеми АГ/Менарини Групп;ИТАЛИЯ
Колдрекс Хотрэм Пор. Мед+Лимон Х10 ;2.0;252.25;302.7;2015-02-02 00:00:00.00;"СИА Интернейшнл" ЗАО; СмитКляйн Бичем С.А.;ИСПАНИЯ
Тетрациклин-АКОС 3% Мазь д/наруж. прим. 15г ;5.0;17.93;24.3;2015-02-02 00:00:00.00;"СИА Интернейшнл" ЗАО; Синтез ОАО г.Курган;РОССИЯ
Тригрим 10мг Таб. Х30 ;5.0;253.5;304.2;2015-02-02 00:00:00.00;"СИА Интернейшнл" ЗАО; Польфарма Фармацевтический завод;ПОЛЬША
Ундевит Др. Х50 Б ;10.0;35.45;47.9;2015-02-02 00:00:00.00;"СИА Интернейшнл" ЗАО; Марбиофарм ОАО;РОССИЯ
Цедекс 36мг/мл пор. д/приг. суспензии д/приема внутрь 8.3г (30мл) Фл. Х1 ;1.0;418.01;501.7;2015-02-02 00:00:00.00;"СИА Интернейшнл" ЗАО; Мерк Шарп и Доум Корп.;СОЕДИНЕННЫЕ ШТАТЫ
Циклоферон 150мг Таб. покр. кишечнор. об. Х20 (R) ;3.0;295.96;352.4;2015-02-02 00:00:00.00;"СИА Интернейшнл" ЗАО; Полисан НТФФ ООО;РОССИЯ
Аспаркам табл. №10 ;40.0;2.91;3.6;2015-02-02 00:00:00.00;"Здравсервис" ООО; Фармстандарт-Лексредства;РОС
Бальзам Золотая звезда карандаш д/ингаляции ;5.0;60.82;82.2;2015-02-02 00:00:00.00;"Здравсервис" ООО; Данафа Фармасьютикал Джойнт;ВЬЕ
Бессмертник песчаный цветки 30г ;3.0;43.06;58.2;2015-02-02 00:00:00.00;"Здравсервис" ООО; Лек С+ ООО;РОС
Далацин свечи 100мг №3 ;1.0;522.65;627.2;2015-02-02 00:00:00.00;"Здравсервис" ООО; Фармация и Апджон Компани;США
Крем для ног До и После от трещин в ступнях 50мл ;3.0;48.98;68.6;2015-02-02 00:00:00.00;"Здравсервис" ООО; Твинс Тэк ЗАО;РОС
Троксерутин капс 300мг №50 ;3.0;150.57;180.7;2015-02-02 00:00:00.00;"Здравсервис" ООО; Озон ООО;РОС
Фенистил Пенцивир крем 1% 2г ;3.0;184.31;221.2;2015-02-02 00:00:00.00;"Здравсервис" ООО; Новартис Фарма Продуксьон Гмбх;ГЕР
Виферон 1 супп. рект. 150тыс.МЕ N10 Россия ;2.0;200.97;239.1;2015-02-02 00:00:00.00;"Альянс Хелскеа Рус" ООО; Ферон ООО;Россия
Димиа табл. п.п.о 3мг+0.02мг 24+4 N1 Венгрия ;2.0;507.32;588.5;2015-02-02 00:00:00.00;"Альянс Хелскеа Рус" ООО; Gedeon Richter Ltd;Венгрия
Мексидол р-р д/ин. в/в в/м 50мг/мл амп. 5мл N5 Россия ;3.0;355.41;420.5;2015-02-02 00:00:00.00;"Альянс Хелскеа Рус" ООО; Московский эндокринный завод;Россия
Фезам капс. N60 Россия ;5.0;187.11;224.6;2015-02-02 00:00:00.00;"Альянс Хелскеа Рус" ООО; ЗиО-Здоровье ЗАО;Россия
Эманера капс. кишечнораст. 40мг N28 Словения ;1.0;689.04;799.3;2015-02-02 00:00:00.00;"Альянс Хелскеа Рус" ООО; KRKA d.d. Novo mesto;Словения
Адвантан мазь д/нар. прим.жирная 0,1% туба 15г №1 ;1.0;322.96;384.8;2015-02-02 00:00:00.00;"Протек" ЗАО ЦВ; Intendis Manufacturing S.p.a.;Италия
Аркоксиа таб. п/о плён. 90мг №7 ;2.0;383.35;460.1;2015-02-02 00:00:00.00;"Протек" ЗАО ЦВ; Merck Sharp & Dohme B.V.;Нидерланды
Верошпирон капс. 50мг №30 ;5.0;165.33;194.2;2015-02-02 00:00:00.00;"Протек" ЗАО ЦВ; Gedeon Richter;Венгрия
Вигантол р-р д/приема внутрь [масляный] 10мл ;3.0;170.28;202.1;2015-02-02 00:00:00.00;"Протек" ЗАО ЦВ; E.Merck;Германия
Галвус таб. 50мг №28 ;2.0;735.9;836.5;2015-02-02 00:00:00.00;"Протек" ЗАО ЦВ; Novartis Pharma Stein AG;Швейцария
Дюрекс плэй фил гель-лубрикант длительного действия 50мл ;2.0;164.78;197.8;2015-02-02 00:00:00.00;"Протек" ЗАО ЦВ; SSL International;Соединенное кор
Дюрекс презервативы sensation №3 ;2.0;111.65;134.0;2015-02-02 00:00:00.00;"Протек" ЗАО ЦВ; SSL Manufacturing (Thailand) Ltd;Таиланд
Нивея визаж демакияж лосьон д/снятия макияжа с глаз 125мл (81110) ;1.0;108.82;141.5;2015-02-02 00:00:00.00;"Протек" ЗАО ЦВ; Beiersdorf AG (Германия);Германия
